#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"(LACAN, 1978, p.60) Esta inter-relacao entre o Outro e o eu (situada na parte da base do esquema), coloca em evidencia pares interdependentes tais como a relacao especular dual que nao pode ser reduzida apenas a uma relacao imaginaria. Isto porque ela provem da relacao do sujeito com o (outro) que lhe constitui enquanto ego (moi) em forma de projecao enquanto eu (je). (que e sua subjetividade) e O que faz com que o sujeito instale-se como significante e a intermediacao de um quarto termo representado como Outro exposto e relacionado com o mundo fora dele. Logo, a dialetica da intersubjetividade e produto da relacao dual entre o sujeito e o outro, simetrica e reciproca, constitutiva do sujeito, produto das identificacoes. Estas transformacoes decorrentes do desdobramento das relacoes com Outro enquanto mundo simbolico proporciona a restituicao da relacao imaginaria na estrutura do sujeito e se desenvolvem independentes do controle sociais ou culturais Ai se insere a linguagem permanentemente ambigua e canal de comunicacao de ida e vinda do desejo que circula em seu carater inatingivel. Alguns outros conceitos sao necessarios para descrever com mais rigor o que e proprio do social. Para qualquer lado que nos voltemos nesta dialetica do sujeito encontramos transformacoes. Assim e impossivel haver a liquidacao desse processo dialetico da intersubjetividade, como bem observa Baudrillard, no livro O crime perfeito: A liquidacao do Outro e duplicada por uma sintese artificial da alteridade, cirurgia estetica radical, de que a do rosto e do corpo sao apenas sintomas. Porque o crime so e perfeito quando as proprias marcas da destruicao do Outro desaparecerem. (BAUDRILLARD, 1996, p.151). Estas sao as bases das transformacoes nos relacionamentos e na alteridade. Transformacoes e Alteridade Alteridade e muito mais do que relacionamento porque envolve transformacoes de um para o outro sujeito. De todas as estruturas do imaginario, a alteridade e talvez a mais corrente. Ha varios modelos de alteridade nos conceitos psicanaliticos: o estadio do espelho tal como Lacan concebeu e uma forma de alteridade, a relacao transferencial e a relacao amorosa considerada aqui como o exemplo mais completo desta transformacao. Uma sintese da alteridade seria bastante satisfatoria se fosse possivel ser realizada. Como escreveu Monique Augras: em primeiro lugar, e necessario situar a alteridade em sua dimensao existencial (AUGRAS, 1995, p.11). Aqui esta a ideia de que o sujeito ve em si proprio um mais alem do Outro e um mais aquem de si, uma imagem e como toda imagem fruto do real e da ficcao. Uma sintese e dificil de ser pensada. Forcando, poderiamos considerar um narcisismo de duas vias, e sensacao decorrente dos processos de projecao e introjecao que complicam ou favorecem a problematica humana, mas restaria a consideracao das oposicoes tradicionais, masculino e feminino, bem e mal, vida e morte, pares antiteticos radicais. Os limites entre as transformacoes e a alteridade sao quase impossiveis de serem encontradas, nao porque nao existam, mas porque a partir da primeira ideia da gestacao de um bebe e as consequentes relacoes na barriga da mae, ja vem selada com a originalidade de sua pessoa e com a marca de sua subjetividade. Mais tarde este limites se multiplicarao em outros e provocarao as crencas necessarias para a manutencao da integridade frente ao desamparo sempre presente no sujeito. A precariedade da ordem inconsciente tambem e um limite e leva a situacoes nas quais o recalque so pode ser definido como um mecanismo na definicao da neurose ou da psicose. Mas, como nao se trata do caos psiquico, o que define a alteridade nao e a oposicao entre os termos, (masculino e feminino), (bem e mal) como lembra Baudrillard e sim outras condicoes: A alteridade e do dominio das coisas incomparaveis. Ela nao e permutavel segundo uma equivalencia geral, nao e negociavel, e, contudo circula no modo da cumplicidade e da relacao dual, seja na seducao ou na guerra. (Baudrillard, 1996, p.159). A vida e a morte estao em cada entrelinha do sujeito. Seguindo o filosofo Levinas, no trabalho Totalidade e Infinito concordo quando ele diz que o eu e felicidade e presenca em si, isto porque ele defende que a relacao do eu consigo promove a felicidade (LEVINAS, 1980, p.127). A partir da aceitacao ou da recusa do que o sujeito vivencia esta tambem o consentimento ou o afastamento da felicidade. Palavra complexa esta; felicidade, para nao dizer impossivel, como tantas outras; analise, real, amor, morte, relacao sexual, mulher. Mas, sera a felicidade produto da fruicao do eu, onde o eu apenas se cristaliza (LEVINAS, 1980, p.128), liberdade da subjetividade completa, santuario dos espacos virtuais, e do encontro feliz consigo proprio? O amor e psicanalise O primeiro modelo de amor para Freud esta relacionado a nocao de objeto decorrente das parcialidades das pulsoes. Desde 1905, em Tres ensaios sobre a teoria da sexualidade, propoem uma juncao das pulsoes parciais, consideradas auto-eroticas ao prototipo de relacao da crianca com o seio da mae. Esta relacao de objeto, acrescentada em nota de rodape ao texto, em 1915, e especificada como anaclitica* e trabalhada por Freud como tendo funcao de fundacao da personalidade. Em conformidade ao tipo anaclitico, o sujeito pode amar a mulher que o alimenta no caso do homem, ou o homem que a protege, no caso da mulher, ou inverter tudo. Esta nocao da parcialidade da pulsao e associada ao desejo sexual neste modelo de amor e sera condicao de associacao entre amor e sexualidade que faz com que faz com que se produza o equivoco da teoria psicanalitica como estudos de sexualidade. Ligacoes e prototipos infantis vao aos poucos evoluindo e se desenvolvendo para um segundo modelo narciseo, que provem da relacao do proprio ego para o encontro de uma nova pessoa. O segundo modelo de amor ja encontra o eu na fase do narcisismo, fase intermediaria do desenvolvimento da libido, entre o auto-erotismo e o amor objetal, onde o sujeito toma seu proprio corpo como objeto de amor. Com relacao as mulheres, Freud foi radical: ""esse auto-amor deve-se a necessidade das mulheres serem amadas, uma vez que o amor objetal completa do tipo de ligacao e, propriamente falando, caracteristico do individuo do sexo masculino"", diz Freud em Introducao ao Narcisismo (FREUD, 1914, p. 105). Novas possibilidades de escolha de objeto surgem atraves das consideracoes sobre o narcisismo e o amor; ama-se o que e, o que se foi um dia, o que gostaria de ser, ou alguem que foi uma vez parte de si. Mas, ama-se mesmo como disse Barthes, ""o corpo dividido, de um lado, seu corpo molengo, morno, na maciez exata, fofinho, se fazendo de desajeitado, e, de outro, sua voz - a voz sempre a voz -, sonora, bem formada, mundana, etc..."". (BARTHES, 1983, p. 62) A terceira concepcao do amor para a psicanalise envolve a transferencia como conceito tecnico e abordado em suas dimensoes humano. Relacao entre o eu e o tu, modelo da relacao inter humana com o outro, grande exemplo de alteridade do sujeito. Um amor ficcao, ou fixacao como joga com as palavras Lacan. Como diz Levinas a alteridade e feminina, inclui todas as possibilidades da relacao transcendente com o outro (LEVINAS, 1980, p. 138). Como feminina tambem e a posicao do analista e como feminina tambem muito frequentemente e a mulher. Questiono esta terceira concepcao de amor porque acho que estamos diante de uma verdadeira camisa de forca, para a mulher onde convergem para a mae toda as satisfacoes do homem. Na verdade, a interdicao do incesto vivenciada como uma frustracao da realidade so pode ser elaborada combinando a corrente afetiva e sensual ao amor. Ainda mais o Edipo so pode ser tratado em analise, cenario da transferencia e palco das paixoes. Alem do que e necessario tratar o Edipo, pois, caso contrario, o efeito sera o de impotencia psiquica. Comeca ai a se esbocar, tanto no registro do desejo sexual quanto no amor, uma insatisfacao, pois existe ainda uma tensao entre o amor direcao mundo e a pulsao, cuja direcao e auto-erotica. O eu-ideal, alvo do amor a si mesmo e tambem o ideal da perfeicao e e vivido como idealizacao do objeto na questao da paixao. Mas ha ainda um impasse na questao da sexualidade, o qual Freud vai resolver no texto Alem do principio do prazer (1920) onde ha a ordenacao da pulsao sexual reconstruida no modelo do amor e unida a nocao de pulsao de vida -Eros. Freud desprende-se da nocao de objeto e remete a pulsao sexual como carga narcisea do ego, ambos concentrados na pulsao da vida (Eros) em oposicao aos instintos do ego ou pulsao de morte (Tanatus). Mas ha uma alternativa pouco explicada que nao e propriamente um modelo, mas que completa a questao do amor para a psicanalise. Neste sentido e que no texto Um tipo especial de escolha de objetos feita pelo homem (1910) Freud analisa varias pre-condicoes para que o amor se estabeleca e referencia toda ela a figura da mulher. Parece que sem a mulher o amor nao acontece. As quatro condicoes essenciais sao: Uma terceira excluida ou prejudicada em consequencia da relacao do par, a mulher casta e fiel, a integridade sexual da mulher e a tendencia a salvar a alma da mulher. Estamos considerando as origens psiquicas do amor neurotico, que sao derivadas da fixacao infantil de sentimentos ternos para a mae, e o amor representante das consequencias dessa fixacao. Mas, por outro lado, aprisiona o homem e o deixa sem opcoes. Quanto a mulher, nem a posicao de mae evita sua passividade porque suas respostas sao condicionadas a estes investimentos. Vamos as questoes do psicanalista Jacques Lacan: Mas de que amor se fala em psicanalise, se so dele se fala em analise? E que fala impossivel e esta da qual nao nos damos conta? Por onde passa essa compulsao em pensar o amor se estamos diante de puro afeto e se o amor ha muito tempo, so se fala disso, diz Lacan no Seminario 20, Mais ainda (LACAN, 1982, p. 55) e nada se resolve? E a vivencia do drama amoroso onde o sujeito apaixonado nao pode ele mesmo escrever seu romance de amor como assinala Barthes em Fragmentos do Discurso amoroso. (Barthes, 1981, p. 81) em casos como Abelardo e Heloisa e para ser atual Lady Diana e Dodi Al Fared, ou Bill Clinton e Hilary? Serao as ilusoes, do amor, o imaginario, as ficcoes, constitutivas das relacoes amorosas e que vao atuar como apaziguadoras destas insatisfacoes? Lacan propoe um interligamento entre o signo e o amor e desfaz alguns impasses e cria outro. Sao condicoes que se voltam para desmistificar o mito do amor, onde o sujeito encontra no outro o complemento sexual. Esse lado vivo do sujeito onde se manifesta a pulsao, que so e representada no inconsciente em sua parcialidade, e signo de que a ""sexualidade se representa no psiquismo, por uma relacao do sujeito que se deduz de outra coisa que nao da sexualidade mesma"" (LACAN, 1979, p.194). Por isto a frase tao chocante ""a relacao sexual nao existe"" tem eco. Tambem e no campo do Outro (mundo) onde tem cena do Edipo e do amor sendo o desejo assim, preso, originalmente numa alienacao ao Outro imaginario. Se o desejo esta do lado do sujeito e ao preco do despedacamento narciseo que reenvia sua imagem ideal ao outro provocando uma ambiguidade permanente que e mantida porque o eu ideal, alvo do amor a si mesmo, e tambem o ideal de perfeicao vivido como idealizacao do objeto. E e por isso que a plenitude narcisea, por um lado, apreende o desejo do sujeito e, por outro, aliena-o. Esse encontro e para sempre perdido pelo proprio sujeito, apenas pelo fato de que ele e sexuado e mortal. Estes modelos propostos pela psicanalise provocam varias ambiguidades: 1. Uma delas se faz presente e se prende ao simbolico pelo fato de que o signo representa algo para alguem e e um efeito do significante, onde os nos se concentram porque as palavras tem interpretacoes diferente. 2. Mas se o significante e o que representa um sujeito para um outro significante, o seu efeito pode ser o de que o amor, certamente, faz signo, e ele e sempre reciproco e suscetivel de provocar desejo. 3. provocar os nos que se produzem justamente quando se fala de amor. 4. Mas ainda e o amor, a maior forma de transformacao que o sujeito atravessa enquanto esta vivo. Amor do tipo vivido como significante amor sentido como vitalidade e desenvolvido pelo ser, amor significado como principio vital. Parece que acabamos de escrever que sem palavras nao ha amor apesar de O amor e a nova agenda para o cotidiano. Bem atual e a concepcao de Anthony Giddens. do chamado amor confluente, e suas diferencas do amor romantico. Enquanto os amores romanticos provem da identificacao do amor-paixao o amor confluente e ativo, contingente e choca -se com as ideias de para sempre, unico e exclusivo porque e baseada na concepcao separacao - divorcio. ""O amor confluente presume igualdade na dadiva e contra-dadiva emocional e quanto mais assim for tanto mais uma ligacao amorosa se aproxima da relacao pura"", diz Giddens em Transformacoes da Intimidade (GIDDENS, 1996, p. 42). Analisando os trabalhos terapeuticos e os manuais de auto ajuda o autor encontra, a partir da critica aos mesmos, nao uma forma de mudanca que afeta a vida pessoal, mas, expressoes de processos de refletividade que ajudam a modelar comportamentos amorosos e sexuais atuais. Deste material recolhe o modelo do amor confluente que parte da intimidade necessaria e da necessidade da privacidade, que significam a revelacao de emocoes e de acoes para estimular a confianca do outro para obter seu retorno. E diferente do amor aberto, da amizade colorida que campeou durante a decada de sessenta no tempo dos hippies. Os amantes podem ser intimos confidenciando seus sentimentos e experiencias sem reservas como se ocupasse o lugar dos amigos. Esta base do amor confluente e o que se denomina de relacao pura que pressupoe um compromisso, e revela a verdade (tempos da AIDS) especie particular de confianca que pode criar um ambiente social que facilita ""o projeto reflexivo do self, limites, espaco pessoal e o resto, como dizem os manuais terapeuticos, e mais necessario para os individuos prosperarem numa relacao do que para deslizarem para a co-dependencia"" (GIDDENS, 1996, p. 97). Varios teoricos assinalam que estamos vivendo uma epoca de finalizacoes. Anthony Giddens vai mais alem e chama atencao par uma nova agenda diante do final do seculo e do milenio, como diz, ""algo que nao tem conteudo, e que e totalmente arbitrario - uma data em um calendario - com tal poder de retificacao que nos mantem escravizados"" (GIDDENS, 1997, 73). Essa nova agenda aborda as ciencias sociais em dois aspectos fundamentais. O primeiro deles corresponde aos processos de mudancas, que em sua opiniao se referem ao abandono e problematizacao da tradicao e o segundo aspecto se refere ao uso da tecnica e da tecnologia que provocam novas experiencias no cotidiano. Vamos abordar agora algumas dessas novas experiencias no cotidiano que precipitam mudancas que a sociedade ainda nao pode absorver. Talvez a primeira delas esteja relacionada com o espaco e as novas formas das cidades, assim como a maneira de vivermos dentro delas. Para Platao a cidade e um lugar onde os homens levam vida em comum, visando a um objetivo nobre. Dante Alighieri autor da famosa obra A Divina Comedia, quando indagado sobre seu conhecimento do inferno respondeu: na cidade em torno de mim. As cidades, espacos habitacionais, foram criadas para atender as necessidades humanas e para que os homens vivam juntos, numa organizacao comunitaria, diminuindo assim seu desamparo. Hoje tres categorias estao presentes no conceito do habitante da cidade: estrangeiras minorias e marginais. Quando observamos uma cidade com atencao compreendemos que razoes logicas contribuiram para sua localizacao. Por exemplo, se o que se tinha por objetivo seria a seguranca da comunidade, escolhia-se para a fundacao da cidade um local de dificil acesso e facil defesa, geralmente o topo das colinas como sao as cidades etruscas, ou uma regiao cercada de charcos e agua. Vejamos algumas destas razoes. Paris originou-se num grupo de ilhas situadas no Rio Sena, enquanto Londres foi fundada no meio de pantanos e Constantinopla na Turquia foi localizada no alto, com o objetivo de defesa de toda uma regiao. Outras cidades se desenvolveram ao longo de rotas comerciais como, por exemplo, Nova York. Mas nenhuns destes motivos sao verdadeiros atualmente. Uma cidade imaginaria e virtual pode ser construida a partir de objetivos que se evaporam amanha. Todos lembram de Matrix, escrito e dirigido por The Wachowsky Brothers, o filme das apologias a maquina. Nesta ficcao a cidade e o interior do corpo e o unico momento humano da maquina e quando de amor se fala. Lembram-se? O personagem principal seria o eleito para perpetuar a especie, estava prestes a morrer e sua parceira diz nao a morte em troca do amor. Como poderia ele morrer se estava destinado ao amor? Nao sao as areas verdes para parques e jardins o que mais encanta numa cidade e sim os templos de consumo onde sao criados grandes parques de seguranca para diversoes e prazeres atuais. Dentre estes templos estao os shoppings, os cinemas, os locais de jogos eletronicos e outros. O mais importante nas cidades atual nao e a casa. Apesar das residencias serem os elementos basicos da cidade e servirem para abrigar o homem das intemperies, esconder dos inimigos e dos inoportunos, hoje, estao alem deste principio e sao performaticas, verdadeiros Parques de diversoes, porque nelas ha o conforto da tecnologia e a tecnica manipulada dos espacos que diminuem gradativamente. O servico de pronta entrega que facilitam as compras ou outros servicos tambem fazem com que o sujeito permaneca o maior tempo possivel dentro de casa. Os utensilios domesticos estao cada vez mais accessiveis ao consumo porque as facilidades sao grandes e a oportunidade de adquiri-los e tentadora. E epoca dos botoes: aperta-se controles remotos, pressionam-se disparadores e temos a tecnologia ao nosso alcance de maneira que a seducao de permanecer em casa e grande. Hoje vivemos encarcerados, prisioneiros de nossa propria condicao social ou cultural, cercado de protecoes dos animais homens que se transformam mais em primitivas bestas do que em seres racionais. Nada mais expressivo na nova agenda da subjetividade do que o termo cyberspace inventado pelo escritor cyberpunk de ficcao cientifica William Gibson em Neuromancer. Segundo ele, o ciberespaco seria um espaco nao fisico, virtual, composto por um conjunto de redes de computadores atraves das quais todas as informacoes circulam. Howard Rheingold descreve o ciberespaco como um ""espaco conceitual, onde palavras, relacoes humanas, dados, prosperidade e poder sao manifestados pelas pessoas usando a tecnologia da CMC (Comunicacao Mediada pelo Computador)"". Segundo Andre Lemos (1999) o ciberespaco pode ainda ser entendido sob duas perspectivas: ""como o lugar onde estamos quando entramos em um ambiente virtual, ou seja, num ambiente como as salas de chat, por exemplo, ou ainda, como o conjunto de redes de computadores, interligadas ou nao, em todo o planeta"". O ciberespaco e um lugar onde nao ha dimensao fisica. Corpos e sentidos humanos nao podem agir, nao ha dimensao sensorial. E um nao-lugar, como afirma Lemos ""repleto de interconexoes, baseado em informacoes, em rapidez e simultaneidade, um espaco que e, em sua propria definicao, pululante e caotico"". Apesar disso, no ciberespaco todos sao partes atuantes no intercambio de informacoes, interagindo constantemente. Para Pierre Levy (1999) pesquisador das novas tecnologias, o ciberespaco formaria um quarto espaco, alem dos ja existentes que seriam a terra, o territorio e o mercado. Levy mostra como as novas tecnologias do ciberespaco podem verdadeiramente ajudar a criar uma circulacao do saber, circulacao essa que forma o que ele chama de inteligencia coletiva, um espaco de saber, decorrente do impacto dos meios de comunicacao sobre a sociedade. Ficcoes e Mulher Vamos trabalhar como o conceito de ficcao no sentido de fictum que de modo geral significa o que e fingido pelo espirito. Por um lado ficcao significa uma construcao logica ou artistica que nao corresponde a realidade, ao que lhe e semelhante, e sim a um constructo. Mas tambem pode ser uma hipotese util para representar a lei ou o mecanismo de um fenomeno, que nos utilizamos para descrever a realidade objetiva, sobretudo diante de situacoes limites. Ai esta engajada a legitimidade de algo e crenca de algo construido. Mas podemos tambem - em concordancia com esta visao filosofica do termo - considerar como Paul-Laurent Assoun no livro Metapsicologia Freudiana (1996) que ha varios niveis de ficcao na obra freudiana tais como o edificio do aparelho psiquico Bau, ou o capitulo VII do livro A Interpretacao dos Sonhos Traumdeutung, ou mesmo o conceito fundamental da pulsao Trieb, ate a tecnica da interpretacao ou da construcao em analise. So para dar um exemplo, em Construcoes em Analise (1937) Freud propoe um procedimento para alem da interpretacao necessaria ao processo analitico. E certamente o detalhe da maneira de conceber literalmente tal procedimento que impressiona: ""adivinhar o que foi esquecido a partir dos indicios deixados ou expresso, de modo mais exato de construir o fato"". (FREUD, 1937, p. 20). Este furor ficcionista e interceptado e prevenido na medida em que esse trabalho devera estar subordinado, como ele proprio aconselha, ""a logica e a seu objeto... Que e o sujeito, o analisando, o unico a legitimar as ficcoes interpretativas do interprete"". (ASSOUN, 1997, p. 70). Mas isto nao intercepta outras ficcoes inclusive do fantasiar (Phantasieren). Se o bloco magico foi utilizado como uma comparacao com o aparelho psiquico, o feminino esta bem proximo de ser pensado como a grande ficcao da psicanalise. Partindo da mulher todo o metodo foi desenvolvido, da mulher a bem da verdade histerica, doente, fragil dependente, aquela feita para amar... A psicanalise se sustenta numa complexa teoria sobre o feminino. Refletindo sobre a proposta de Lipovetsky (1997) no livro La troisieme Femme, que ha varias concepcoes sobre a mulher durante a historia da civilizacao acrescentamos mais uma, a mulher da epoca cibernetica e optamos por discorrer sobre essa mulher imaginaria, ou de ficcao. Vamos as concepcoes de Lipovetsky: 1- A primeira delas refere-se a depreciacao atraves da interdicao do papel da mulher na sociedade, tempo em que ""os homens se exprimiam a respeito das mulheres quase sempre para estigmatizar seus vicios...como ser enganador, licencioso, inconstante , ignorante, invejoso e perigoso"" (LIPOVETSKY, 1997, p.234). 2- A segunda percepcao de mulher evidencia outro modelo e a mulher exaltada e idolatrada que apareceu a partir da Idade Media e e aquela da apologia do culto da Dama amada e de suas perfeicoes. Sao os seculos (entre XV a XVIII) do romance de cavalaria onde os cavaleiros exaltavam suas virtudes e meritos: ""se difunde, a partir do seculo XVIII, a ideia que a potencia do sexo fragil e imensa, que apesar das aparencias ele detem, o verdadeiro poder"" (LIPOVETSKY, 1997, p. 236). 3- A terceira concepcao de mulher e a indeterminada. Este modelo considerado como novo se caracteriza por sua autonomia em relacao ao papel tradicional desempenhado pelos homens e tambem por uma autonomia real e imaginaria da mulher caracterizada por: Desvitalizacao do ideal da mulher do lar, legitimidade dos estudos e dos trabalhos femininos, direito ao voto, ""divorcios"", liberdade sexual, controle da natalidade, enquanto manifestacao do acesso das mulheres a inteira disposicao delas mesmas em todas as esferas da existencia, como dispositivos que constroem a ""terceira mulher"" (LIPOVETSKY, 1997, p. 237). E muito interessante a observacao do autor sobre a invasao desta concepcao de mulher porque evidencia uma ruptura historica uma especie de mutacao que transforma o passado em tabua rasa. Muito alem das diferencas sexuais e a potencia da autodeterminacao em contrapartida com uma indeterminacao subjetiva o que ganha, ""apesar da variavel sexo continuar como evidencia da orientacao das existencias, de fabricar diferencas de sensibilidades, de itinerarios e de aspiracoes"" (p. 239). Retomando a questao ja levantada no inicio desta conferencia advogo a existencia de um quarto poder, baseado no modelo ficcional, e que nao traz em si ambiguidades porque e fruto da virtualidade, do momento da modernidade tardia (GIDDENS, 1997) ou da pos-modernidade. A partir deste ponto aprofundo esta ideia reforcada pelas concepcoes freudianas e lacanianas, para desembocar em puras ficcoes sobre o feminino. Nenhuma outra influencia e valorizada pela psicanalise a nao ser o mundo interno do sujeito sempre considerado como pre-determinado. Contrariamente a Lipovetsky, Lucian Boia em Pour une historire de l'imaginaire (1998) argumenta o conceito da mulher imaginaria e pensa que ""a reacao emancipatoria do seculo XX acrescentou novas vitorias sem modificar o equivoco da mitologia feminina"" (BOIA, 1998, p. 130) e mais ainda que ""a mulher imaginaria foi e continua em natureza incomparavelmente mais rica, mais complexa e mais misteriosa do que o homem"" (BOIA, 1998, p. 130). Enfim, antecipando algumas conclusoes para esta breve abordagem, este modelo ficcional propoem uma intimidade discreta onde os relacionamentos se passam atraves de um processo imaginativo cujas fantasias coordenam as relacoes explicitas porque estao cercadas do anonimato, o segredo e da privacidade . Na relacao amorosa onde esta presente este modelo so e valorizada a atividade imaginativa, por isso o amor ficcao nao necessita de reciprocidade porque esta distante do simbolico que agora e deslocado para o social. Nao necessita tambem do corpo porque ele e ficticio e virtual, pode ser mentiroso, posso oferecer a imagem que quiser. O que vai contar e a comunicacao externa onde a familia foi perdida nestes tempos de modernidade avancada e substituida por uma outra intimidade agora lancada no social atraves dos meios de comunicacao, onde a midia e a ficcao tem lugar especial. Midia, ciberespaco, internet, televisao, computadores, telefones celulares, templos da imagem que buscam uma interacao continua de consumo. Dessa forma e esperada que todos eles catalisem grande parte dos objetivos de privacidade de erotismo e de ambicao os quais a familia estava destinada criando um novo estilo de vida. Sao tres elementos que perfazem uma nova agenda para a mulher e para o amor. A questao do genero se e masculino ou feminino pouco importa para estes elementos cotidianos, ao contrario e fonte de conflito, as diferencas raciais, sociais, ou de identidade cultural tambem nao influenciam. O que pesa sao vivencias na meta espaco do cotidiano. Para concluir vamos para onde? Aos poetas? Aos artistas? A quem autorizamos falar de amor, mas como, se de imagens ele e preenchido? Que ninguem se engane sobre amor, morte e seu par oposto o odio e sofrimento porque um esta associado ao outro, como almas gemeas.Nestes tempos de finalizacoes estamos diante do amor confluente e mulheres de ficcao em busca da relacao pura. Sera que Freud continuaria afirmando que so o homem e capaz de amar? E Lacan insistiria em dizer que amar e dar o que nao se tem a quem nao e? Encerro este trabalho sobre o amor citando Barthes quando lembra do transbordamento: ""o sujeito coloca obstinadamente, o voto e a possibilidade de uma satisfacao plena do desejo implicado na relacao amorosa e de um sucesso sem falhas e eterno dessa relacao: imagem paradisiaca do Bem Supremo, a dar e a receber"" (BARTHES, 1981, p. 192).",,,,,,,,,,ESQUEMA L1,,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,,,,,,,,,,,BIBLIOGRAFIA,,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Castas estrelas! Psicologia: Reflexao e Critica, Porto Alegre, n. 3, p.727-740, 1999. Numero Especial - Pesquisa em Psicanalise.",,,,,,,,,,"ANDRADE, Regina.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Amor e ficcao: As paixoes do ser. Seminario: amor, odio e ignorancia. VII Jornada da Escola Brasileira de Psicanalise e III Jornada do Instituto de Psicanalise da Bahia. Agente Revista de Psicanalise, Salvador, Ba, n. 13, p.71-77, 2000.",,,,,,,,,,"ANDRADE, Regina.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Metapsicologia Freudiana, uma introducao. Rio de Janeiro: Jorge Zahar, 1996.",,,,,,,,,,"ASSOUN, P. L.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"A Guerra dos Sonhos. Campinas, SP: Papirus, 1998.",,,,,,,,,,"AUGE, Marc.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Alteridade e subjetividade. In: Seminario A psicologia em contexto, 1995, Rio de Janeiro. Anais...Rio de Janeiro: PUC, 1995.",,,,,,,,,,"AUGRAS, M.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Fragmentos de um discurso amoroso. 2.ed. Traducao de Hortensia dos Santos. Rio de Janeiro: Francisco Alves, 1981.",,,,,,,,,,"BARTHES, R.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"O crime perfeito. Lisboa: Relogio D'Agua , 1996.",,,,,,,,,,"BAUDRILLARD, J.",,,,,,
2149,,,,,,,,,,,,Regina Andrade,,,,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1326.pdf,A comunicação amorosa. Novos tempos,,COMUNICAÇÃO E CAMPO DO INCONSCIENTE,BRASíLIA/DF,"Da seducao. Campinas, SP : Papirus, 1992.",,,,,,,,,,"BAUDRILLARD, J.",,,,,,
