#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Powers of theory: Capitalism, the state, and democracy. Cambridge: Cambridge University Press, 1985.",Wikipedia,Poder,Transformacao social,,,,,,,"ALFORD, R. R.","FRIEDLAND, R.",,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Readers are not free-riders: reading as a form of participation on wikipedia. In: Proceedings of the 2010 ACM conference on Computer supported cooperative work. ACM, p. 127-130, 2010.",Wikipedia,Poder,Transformacao social,,,,,,,"ANTIN, J.","CHESHIRE, C.",,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"The wealth of networks: How social production transforms markets and freedom. New Haven: Yale University Press, 2006.",Wikipedia,Poder,Transformacao social,,,,,,,"BENKLER, Y.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Modelos de alternativas ao capitalismo. Margem Esquerda: ensaios marxistas, Sao Paulo, Boitempo, n. 17, 2011.",Wikipedia,Poder,Transformacao social,,,,,,,"CALNITSKY, D.","PESCHANSKI, J. A.",,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Phantom authority, self-selective recruitment and retention of members in virtual communities: The case of Wikipedia. first monday, v. 8, n. 12, 2003.",Wikipedia,Poder,Transformacao social,,,,,,,"CIFFOLILLI, A.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Online harassment. Pew Research Center, 2014.",Wikipedia,Poder,Transformacao social,,,,,,,"DUGGAN, M.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Decentralization in Wikipedia governance. Journal of Management Information Systems, v. 26, n. 1, p. 49-72, 2009.",Wikipedia,Poder,Transformacao social,,,,,,,"FORTE, A.","LARCO, V.","BRUCKMAN, A.",,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,Internet encyclopaedias go head to head. Nature 2005. ! !,Wikipedia,Poder,Transformacao social,,,,,,,"GILES, J.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Common Knowledge?: An Ethnography of Wikipedia. Stanford: Stanford University Press, 2014.",Wikipedia,Poder,Transformacao social,,,,,,,"JEMIELNIAK, D.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"From town-halls to wikis: Exploring Wikipedia's implications for deliberative democracy. Journal of Public Deliberation, v. 6, n. 2, 2010.",Wikipedia,Poder,Transformacao social,,,,,,,"KLEMP, N. J.","FORCEHIMES, A. T.",,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Governance, organization, and democracy on the Internet: The iron law and the evolution of Wikipedia. In: Sociological Forum. Blackwell Publishing Ltd, 2009. p. 162-192.",Wikipedia,Poder,Transformacao social,,,,,,,"KONIECZNY, P.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Ecologia e socialismo. Sao Paulo: Cortez, 2005.",Wikipedia,Poder,Transformacao social,,,,,,,"LOWY, M.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"O poder: uma visao radical. Brasilia: Editora da Universidade de Brasilia, 1980.",Wikipedia,Poder,Transformacao social,,,,,,,"LUKES, S.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"""The sum of all human knowledge"": A systematic review of scholarly research on the content of Wikipedia. Journal of the Association for Information Science and Technology, v. 66, n. 2, p. 219-245, 2015.",Wikipedia,Poder,Transformacao social,,,,,,,"MESGARI, M.",et al.,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Utopias do pos-socialismo: esbocos e projetos de reorganizacao radical da sociedade. Revista Brasileira de Ciencias Sociais, Sao Paulo, v. 21, n. 61, 2006.",Wikipedia,Poder,Transformacao social,,,,,,,"MIGUEL, L. F.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,Wikipedia contra a ignorancia racional. Manuscrito apresentado no,Wikipedia,Poder,Transformacao social,,,,,,,"PESCHANSKI, J. A.",,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"ngresso Brasileiro de Ciencias da Comunicacao, 8 de setembro de 2016.",Wikipedia,Poder,Transformacao social,,,,,,,XXXIX Co,,,,,,
0,FCL,,,,,,,,,,,João Alexandre Peschanski,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_61EAGU3SPK77RBC99DFX_26_5704_20_02_2017_13_27_06.pdf,A Wikipédia e o poder: uma avaliação neomarxista,,COMUNICAÇÃO E CIBERCULTURA,SÃO PAULO/SP,"Wikipedia e enciclopedia britanica: Informacao confiavel?. RBBD. Revista Brasileira de Biblioteconomia e Documentacao, v. 7, n. 2, p. 172-185, 2012.",Wikipedia,Poder,Transformacao social,,,,,,,"RIBEIRO, A.","GOTTSCHALG-DUQUE, C.",,,,,
