#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Prensa burguesa, prensa popular y prensa revolucionaria. In: MATTELART, Armando;",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"BIEDMA, Patricio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Comunicacion masiva y revolucion socialista. Santiago: Ediciones Prensa Latinoamericana S.A., 1971.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"BIEDMA, Patricio;","FUNES, Santiago.",,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"A comunicacao do oprimido e outros ensaios. Rio de Janeiro, Morula, 2014.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"COUTINHO, Eduardo Granja.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"O outro Gramsci. Sao Paulo: Xama, 1996.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"DIAS, Edmundo.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"O Brasil e o capital-imperialismo. Teoria e Historia. Rio de Janeiro: Editora UFRJ, 2010.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"FONTES, Virginia.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Cadernos do Carcere vol. 1. Rio de Janeiro: Civilizacao Brasileira, 2004.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"GRAMSCI, Antonio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Cadernos do Carcere vol. 2. Rio de Janeiro: Civilizacao Brasileira, 2006.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"GRAMSCI, Antonio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Cadernos do Carcere vol. 3. Rio de Janeiro: Civilizacao Brasileira, 2007.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"GRAMSCI, Antonio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Cartas do Carcere vol. 2. Rio de Janeiro: Civilizacao Brasileira, 2005.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"GRAMSCI, Antonio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Escritos Politicos vol. 2. Rio de Janeiro: Civilizacao Brasileira, 2004c.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"GRAMSCI, Antonio.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Roteiros para Gramsci. Rio de Janeiro: Editora UFRJ, 2007.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"LIGUORI, Guido.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"A miseria da filosofia. Sao Paulo: Expressao Popular, 2009.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"MARX, Karl.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"e ENGELS, F. A Ideologia Alema. Sao Paulo: Boitempo Editorial, 2007.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"MARX, K.",,,,,,
10,Fiocruz,,,,,,,,,,,Cátia Corrêa Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_INGSUMJYVEDGGC0MUGHP_26_5265_09_02_2017_10_33_08.pdf,COMUNICAÇÃO ALTERNATIVA A QUÊ? Notas sobre contra-hegemonia no campo da comunicação  ,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"A batalha da midia: governos progressistas e politicas de comunicacao na America Latina e outros ensaios. Rio de Janeiro: Pao e Rosas, 2009.",Comunicacao alternativa,Contra-hegemonia,Luta de classes,,,,,,,"MORAES, Denis.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Definicao. In: CHARAUDEAU, P; MAINGUENEAU, D. Dicionario de analise do discurso. Sao Paulo: Contexto, 2004.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"BERCHE, F.C.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Filosofia de las formas simbolicas. v. I. El Lenguaje. Mexico: Fondo de Cultura Economica, 1971.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"CASSIRER, E.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Midia radical: rebeldia nas comunicacoes e movimentos Sociais. 2deg ed.. Sao Paulo: Senac, 2002.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"DOWNING, J.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Movimentos sociais, comunicacao popular e alternativa. In: FESTA, R.; LINS, C. E. Comunicacao popular e alternativa no Brasil. Sao Paulo: Paulinas, 1986, p.9-30. linguagem, v. 11, n. 1, p. 197-222,",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"FESTA, R.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,A definicao de termos tecnicocientificos no ambito dos estudos de terminologia. In. jun. 2003. Disponivel em: Revista de estudos da <http://www.periodicos.letras.ufmg.br/index.php/relin/article/view/2351>. Acesso em: 15 fev. 2017. doi:http://dx.doi.org/10.17851/2237-2083.11.1.197-222.,Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"FINATTO, M.J.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"O que e um autor? s/l: Vega, 1992. ___ A ordem do discurso. 12. ed. Sao Paulo: Loyola, 2005",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"FOUCAULT, Michel.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Comunicacao alternativa: dimensoes, limites, possibilidades. In: GRINBERG, M.S. (org.). A comunicacao alternativa na America Latina. Petropolis: Vozes, 1987.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"GRINBERG, M.S.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Jornalistas e revolucionarios. Sao Paulo: Pagina Aberta, 1992.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"KUCINSKI, B.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"O PCB e a imprensa: os comunistas no imaginario dos jornais (1922- 1989). Rio de Janeiro: Revan; Campinas: Unicamp, 1998.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"MARIANI, B.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Jornalismo alternativo: um potencial para a radicalizacao da democracia. Signo pensam., jun 2011, vol.30, no.58, p.52-63.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"OLIVEIRA, D.",,,,,,
11,USP,,,UNIP,,,,,,,,João Augusto Moliani,,,Fernando Felício Pachi Filho,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_A6KGT4SOL3S8L7YO874H_26_5702_21_02_2017_11_24_08.pdf,Efeitos de sentido da autoria na pesquisa em comunicação alternativa no Brasil,,COMUNICAÇÃO E CIDADANIA,SÃO PAULO/SP,"Analise de discurso: principios e procedimentos. 4a. Ed.Campinas: Pontes, 2002.",Imprensa alternativa,Jornalismo alternativo,Comunicacao,,,,,,,"ORLANDI, E.",,,,,,
