#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Advertising and the Persian Gulf War. In: Consumer culture and TV Programming. Oxford: Westview, 1995.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"ANDERSEN, Robin.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"O Alemao e muito mais complexo. Revista Justica e Sistema Criminal - Modernas Tendencias do Sistema Criminal. Curitiba, v. 3, n. 5, p. 103-126, jul./dez. 2011.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"BATISTA, Vera Malaguti.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"A televisao e o 11 de Setembro: alguns efeitos do imaginario. In: LOGOS 24, cinema, imagens e imaginario. Ano 13, 1deg semestre, 2006.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"CHARAUDEAU, Patrick.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,ttp://portalgeo.rio.rj.gov.br/armazenzinho/web/BairrosCariocas/main_bairro.asp?area=156. Acessado 16/02/2017.,Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,COMPLEXO h,,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Vozes da guerra urbana no Rio de Janeiro (anotacoes sobre a tomada da Vila Cruzeiro e do Complexo do Alemao). Revista Transversos, Rio de Janeiro, Vol. 03, no. 03, pp. 26-43, out- mar. 2014/2015. Disponivel em: <www.transversos.com.br>.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"CRUZ, Teresa Andrea Florencio.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Dechiffrer le corps: penser avec Foucault. Grenoble: Edition Jerome Millon, 2011.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"COURTINE, Jean-Jacques.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Entre discursos: midia e subjetividade nos espacos populares. 2008. 242 p. Dissertacao (Mestrado em Comunicacao e Cultura) - Escola de Comunicacao da Universidade Federal do Rio de Janeiro, Rio de Janeiro, 2008.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"BAIENSE, Carla.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Territorios Proibidos: a representacao da favela no noticiario e seus efeitos sociais. 2012. 157 p. Tese (Doutorado em Comunicacao e Cultura) - Escola de Comunicacao da Universidade Federal do Rio de Janeiro, Rio de Janeiro, 2012.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"BAIENSE, Carla.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"A representacao da identidade nacional em escolas de imigracao alema no Rio Grande do Sul. Revista Historia da educacao. Pelotas, p. 141-164, abril de 1999.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"KREUTZ, Lucio.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Os tanques de guerra sobem o morro: a cobertura fotografica da invasao militar na Vila Cruzeiro e Complexo do Alemao pela Folha de S. Paulo em 2010. Revista Tematica, Ano X, n. 05, p. 180-198, Maio/2014.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"MARTINS, Lucas de Toledo.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Leticia Cantarela e SILVA, Pedro Henrique. Territorio Retomado: O noticiario sobre operacoes militares em favelas no Rio de Janeiro. Revista Eco-Pos, v. 16, n. 3, Dossie Comunicacao, narrativas e territorialidades p. 44-60, set/dez 2013.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"MATHEUS,",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,Representacoes em capas: analise iconica dos jornais O Globo e O Dia durante as ocupacoes do Complexo do Alemao e Rocinha1 Intercom - Sociedade Brasileira de Estudos Interdisciplinares da Comunicacao. XX Congresso de Ciencias da Comunicacao na Regiao Sudeste - Uberlandia - MG - 19 a 21/06/2015.,Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"MATTOS, Bruna.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,O RJTV e a (re)urbanizacao do Rio: uma cartografia da violencia no discurso telejornalistico de pacificacao. Intercom - Sociedade Brasileira de Estudos Interdisciplinares da Comunicacao.,Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"MENDONCA, Kleber.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"ngresso Brasileiro de Ciencias da Comunicacao. Recife, 2 a 6 de setembro de 2011.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,XXXIV Co,,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Getulio: Do Governo Provisorio a ditadura do Estado Novo (1934-5). Sao Paulo: Companhia das Letras, 2013.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"NETO, Lira.",,,,,,
20,UFF,,,,,,,,,,,Carla Baiense Felix,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_C5ZEZSBEUO9R4H1PUR7O_26_5691_20_02_2017_11_57_47.pdf," ‘O ALEMÃO ERA O CORAÇÃO DO MAL’: mídia, guerra e produção de sentidos ",,COMUNICAÇÃO E CULTURA,SÃO PAULO/SP,"Da ""Guerra"" no Complexo do Alemao a Ocupacao da Favela Santa Marta: aspectos de uma politica de seguranca publica. Revista Ilha, v. 16, n. 2, p. 115-145, ago./dez. 2014.",Midia,Imaginario social,Representacao,Alemao,Guerra,,,,,"PALERMO, Luis Claudio.",,,,,,
