#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,Desocidentada. Experiencia literaria em terra indigena. Belo,Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"ALMEIDA, Maria Ines de.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,Ana (Org). Koxuk Xop/Imagem. Fotografas Tikmu'un da Aldeia Verde.,Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"ALVARENGA,",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"O que e politica? Rio de Janeiro: Bertrand Brasil, 2012.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"ARENDT, Hannah.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"Bicicletas de Nhanderu: lascas do extracampo. Devires, vol 9, n.1, 2012.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"BRASIL, Andre.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"O olho do mito: perspectivismo em Historias de Mawari. Eco-Pos, 2013, 15/3.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"BRASIL, Andre.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"Desmanchar o cinema: variacoes do fora- de-campo em filmes indigenas. Sociologia & Antropologia, vol. 6, n. 3.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"BRASIL, Andre;","BELISARIO, Bernard.",,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"A vida sensivel. Florianopolis: Cultura e Barbarie, 2010.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"COCCIA, Emanuele.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"A transfiguracao do lugar-comum. Sao Paulo: Cosac Naify, 2011.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"DANTO, Arthur C.",,,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"O que e a filosofia. Rio de Janeiro: Editora 34, 1992.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"DELEUZE, Gilles;","GUATTARI, Felix.",,,,,
30,UFMG,,,,,,,,,,,César Geraldo Guimarães,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_SZ2I2BQ2BX7DNL6FLNHN_26_5781_21_02_2017_12_23_42.pdf,A estética que vem,,COMUNICAÇÃO E EXPERIÊNCIA ESTÉTICA,SÃO PAULO/SP,"Mil platos. Capitalismo e esquizofrenia. Vol. 4. Sao Paulo: Ed. 34, 1997.",Experiencia estetica,Sensivel,Regime estetico da arte,,,,,,,"DELEUZE, Gilles;","GUATTARI, Felix.",,,,,
