#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"os, configuracoes e o papel atribuido a este site pelos candidatos durante as eleicoes municipais de 2012. Revista Compolitica, v. 3, n. 2, p. 155, 2013. ___; Campanhas politicas e sites para redes sociais: um estudo sobre o uso do Twitter na eleicao presidencial brasileira de 2010. Tese de Doutorado em Comunicacao e Cultura Contemporaneas. Universidade Federal da Bahia. Salvador, Bahia 2014",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"AGGIO, Camilo;","REIS, L.",CAMPANHA ELEITORAL NO FACEBOOK-Us,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"Twitter use by three political leaders: an exploratory analysis. Online Information Review, v. 36, n. 4, p. 587-603, 2012.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"AHARONY, Noa.",,,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"Analise de conteudo. Lisboa: edicoes, v. 70, p. 225, 1977.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"BARDIN, Lawrence.",,,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"O uso do twitter nas eleicoes de 2010: O microblog nas campanhas dos principais candidatos ao governo do Parana//The use of twitter in the elections of 2010: the microblog in the campaigns of the major candidates for government of Parana. Contemporanea-Revista de Comunicacao e Cultura, v. 9, n. 2, p. 319-334, 2011.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"CERVI, Emerson U.","MASSUCHIN, Michele.",,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"Transformacoes da politica na era da comunicacao de massa. Pia Sociedade de Sao Paulo- Editora Paulus, 2004. ___; FERNANDES, B; REIS, L; SILVA, T. "" Politics 2.0"": Barack Obama's on-line 2008 campaign. Revista de Sociologia e Politica, v. 17, n. 34, p. 29-43, 2009.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"GOMES, Wilson.",,,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"O.; MATOS, Nina. Estrategias de comunicacao politica online: uma analise do perfil de Jose Serra no Twitter. Contemporanea--Revista de Comunicacao e Cultura, v. 9, n. 3, p. 344-369, 2011.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"MARQUES, F. P. J. A.","SILVA, Fernando W.",,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"Politics and the Twitter revolution. How Tweets Influence the Relationship between Political Leaders and the Public, Lanham, MD, 2012.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"PARMELEE, John H.","BICHARD, Shannon L.",,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"Twitosfera: a expansao da agora digital e seus efeitos no universo politico. In: III Congresso da Associacao Brasileira de Pesquisadores em Comunicacao e Politica, 2009, Sao Paulo. Anais do III Congresso da Associacao Brasileira de pesquisadores em Comunicacao e Politica, 2009.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"RAMALDES, Dalva.",,,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"N.; CARREIRO, R.; ALMADA, Maria Paula. Twitter e comunicacao politica: limites e possibilidades. Revista Compolitica, v. 3, n. 2, p. 189, 2013.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"ROSSETTO, Graca P.",,,,,,
40,UFBA,,,UFBA,UFBA,,,,,,,Eurico Oliveira Matos Neto,,,Tatiana Maria Silva Galvão Dourado,Pedro Mesquita Duarte Da Rocha,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_LRP0JNRLUMH413HS2IX9_26_5791_21_02_2017_14_54_35.pdf,@DILMABR NO IMPEACHMENT: Uma análise das estratégias de comunicação política de Dilma Rousseff no Twitter,,COMUNICAÇÃO E POLÍTICA,SÃO PAULO/SP,"F. Os Perfis de Presidentes Latino-americanos no Twitter: Desafios da Representacao Politica no Contexto da Desintermediacao Comunicacional. Revista Cadernos de Estudos Sociais e Politicos, v.1, n.2, 2012.",Comunicacao Politica,Twitter,Dilma Rousseff,,,,,,,"ROSSINI, Patricia.","LEAL, Paulo R.",,,,,
