#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Paulo Vicente & SILVA, Ygor Morais da. Millenia. Rio de Janeiro: GSA, 1995.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"ALVES,",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"A Galaxia de Lucas de Guerra nas Estrelas ao ethos virtualizado. Trabalho apresentado ao NP08 - Comunicacao e Novas Tecnologias. V Encontro dos Nucleos de Pesquisa da Intercom. Rio de Janeiro: UERJ, 2005.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"ANDRADE, Luiz Adolfo de.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,Can A Table Stand On One Leg? Critical and Ludological Thoughts on Star Wars: Galaxies. 2005. Disponivel em: http//www.gamestudies.org/0501/burke/,RPG,jogo eletronico,corpo,Star Wars,,,,,,"BURKE, Thymothi.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Roland & MARTY, Eric. Oral/escrito. In: Enciclopedia Einaudi, volume 11. Lisboa: Imprensa Nacional, 1987.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"BARTHES,",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,2003. Disponivel em http//ssrn.com/abstract=415043,RPG,jogo eletronico,corpo,Star Wars,,,,,,"CASTONOVA, Edward Hedonic pricing model of avatar attributes in a syntetic world.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Midia, acesso e mercado da experiencia. In: Contracampo: dossie 40 anos de understanding media. Revista do PPGCOM da Universidade Federal Fluminense. Niteroi: Instituto de Artes e Comunicacao Social, 2004.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"FONTENELLE, Isleide Arruda.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"O design da narrativa como simulacao imersiva. Trabalho apresentado ao GT 04 - Criacao e poeticas digitais. XIV Encontro Anual da COMPOS. Niteroi: Universidade Federal Fluminense, 2005.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"GOMES, Renata Correa Lima Ferreira.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Preface to Plato. The History of the Greek mind. Belknap Press of Harvard University Press, Cambridge, MA: 1963.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"HAVELOCK, Eric.",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Castulos & BAUR, Timo. Vivendo uma vida virtual: Dinamica social do gaming em linha. 2004. Disponivel em: http://www.gamestudies.org/0401/kolo/",RPG,jogo eletronico,corpo,Star Wars,,,,,,"KOLO,",,,,,,
1590,UFF,,,,,,,,,,,Luiz Adolfo de Andrade,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_525.pdf,A corporalidade do RPG inscrita no design do jogo eletrônico,,COMUNICAÇÃO E POÉTICAS DIGITAIS,BAURU/SP,"Hamlet no Holodeck: o futuro da narrativa no ciberespaco. Sao Paulo: Itau Cultural: Unesp, 2003.",RPG,jogo eletronico,corpo,Star Wars,,,,,,"MURRAY, Janet.",,,,,,
