#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,sponivel 2011-2734. 23.3. Porto Alegre:,Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,ISSN Di,,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,,Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"PUCRS,",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,2016. Disponivel,Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,FAMECOS.,,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"Bulletproof. A dieta a prova de bala. Trad. Valeria Prest. Sao Paulo: Rocco, 2016.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"ASPREY, Dave.",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"""A transformacao social nos discursos da cena empreendedora social brasileira: processos comunicacionais e regimes de convocacao na midia digital"". Universitas Humanistica, [S.l.], v. 81, n. 81, nov. 2015. em: <http://revistas.javeriana.edu.co/index.php/univhumanistica/article/view/11354/11949>. Acesso em: 15/01/2017 doi: http://dx.doi.org/10.11144/Javeriana.uh81.tsnd. ___ ""Esbocos e projetos da sociedade empreendedora: mundo conexionista, sociabilidade e consumo"". Revista em <http://revistaseletronicas.pucrs.br/ojs/index.php/revistafamecos/article/view/22654> . Acesso em 10/01/2017.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"CASAQUI, Vander.",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"Cafe com manteiga, a mistura que promete aumentar a performance do cerebro. Disponivel em < http://comendocomosolhos.com/cafe-com-manteiga-a-mistura-que-promete-aumentar- a-performance-do-cerebro/> . Acesso em 02/02/2017.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,COMENDOCOMOSOLHOS.,COM:,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"24/7: Capitalismo tardio e os fins do sono. Sao Paulo: Cosac Naify, 2014. [versao em e- book].",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"CRARY, Jonathan.",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"Conversacoes. Rio de Janeiro: Editora 34, 1996. ___ Espinosa, Filosofia Pratica. Sao Paulo: Escuta, 2002.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"DELEUZE, Gilles.",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"O nascimento da biopolitica: curso dado no College de France (1978-1979). Traducao Eduardo Brandao. Sao Paulo: Martins Fontes, 2008.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"FOUCAULT, Michel.",,,,,,
50,PUCSP,,,PUCSP,,,,,,,,Francisco Beltrame Trento,,,Ana Catarina Dos Santos Holtz,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_9JNW33U97DJGCEJV71FM_26_5196_07_02_2017_16_10_26.pdf,BORA PRA ACTION: Análise sobre o discurso do empreendedor de alta performance e o self quantificado,,COMUNICAÇÃO E SOCIABILIDADE,SÃO PAULO/SP,"""O poder em si mesmo: jornalismo de autoajuda e a construcao da autoestima. Revista Famecos 18.3: < http://revistaseletronicas.pucrs.br/ojs/index.php/revistafamecos/article/viewArticle/10379> em 02/01/2017.",Self Quantificado,Biopolitica,Comunicacao,Empreendedorismo,Bulletproof Coffee,,,,,"FREIRE FILHO, Joao.",,,,,,
