#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
2074,UFBA,,,,,,,,,,,André Lemos,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_785.PDF,A arte da vida: diários pessoais e webcams na Internet,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2075,ECO/UFRJ,,,,,,,,,,,Henrique Antoun,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_783.PDF,A multidão e o futuro da democracia na cibercultura,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2076,ECO/UFRJ,,,,,,,,,,,Fátima Cristina Regis Martins de Oliveira,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_787.PDF,"A Subjetividade Ciber: ciborgues, ciberespaço e cyberpunk",,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2077,ECA/USP,,,,,,,,,,,Maria Lúcia Becker,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_784.PDF,Cidadania na era da cibercultura: considerações epistemológicas sobre a infoinclusão no Brasil,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2078,ECO/UFRJ,,,,,,,,,,,Vinicius Andrade Pereira,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_792.PDF,"Comunicação, memória, linguagem e tecnologia: uma exploração neuro-cultural das extensões do mutante humano",,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2079,ECO/UFRJ,,,,,,,,,,,Paulo Vaz,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_790.PDF,Histórias das tecnologias cognitivas,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2080,UFMG,,,,,,,,,,,Francisco Coelho dos Santos,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_786.PDF,Peripécias de agosto: alguns episódios da « cena hacker »,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2081,UERJ,,,,,,,,,,,Erick Felinto,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_788.PDF,Por uma crítica do imaginário tecnológico: novas tecnologias e imagens da transcendência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2082,PGIE/UFRGS,,,,,,,,,,,Alex Fernando Teixeira Primo,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_789.PDF,Quão interativo é o hipertexto? Da interface potencial à escrita coletiva,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2083,UFRJ,,,,,,,,,,,Fernanda Bruno,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_791.PDF,Tecnologias cognitivas e espaços do pensamento,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),RIO DE JANEIRO/RJ,,,,,,,,,,,,,,,,,
2189,,,,,,,,,,,,Alex Fernando Teixeira Primo,,,Luciano Roth Coelho,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1298.pdf,Comunicação e inteligência artificial: interagindo com a robô de conversação Cybelle,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),BRASíLIA/DF,Bot Descriptions: the spot for all bots on the net. Disponivel em: http://www.botspot.com.,,,,,,,,,,BOTSPOT.,,,,,,
2189,,,,,,,,,,,,Alex Fernando Teixeira Primo,,,Luciano Roth Coelho,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1298.pdf,Comunicação e inteligência artificial: interagindo com a robô de conversação Cybelle,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),BRASíLIA/DF,"O sitio da mente: pensamento, emocao, e vontade no cerebro humano. Sao Paulo: Collegium Cognitio, 1997.",,,,,,,,,,"DEL NERO, Henrique Schutzer.",,,,,,
2189,,,,,,,,,,,,Alex Fernando Teixeira Primo,,,Luciano Roth Coelho,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1298.pdf,Comunicação e inteligência artificial: interagindo com a robô de conversação Cybelle,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),BRASíLIA/DF,"Tratado geral de semiotica. Sao Paulo: Perpectiva, 1991.",,,,,,,,,,"ECO, U.",,,,,,
2189,,,,,,,,,,,,Alex Fernando Teixeira Primo,,,Luciano Roth Coelho,,,,,,,,2001,http://www.compos.org.br/data/biblioteca_1298.pdf,Comunicação e inteligência artificial: interagindo com a robô de conversação Cybelle,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA(GT INATIVO),BRASíLIA/DF,"Jason L e ALDER, Michael. Introducing MegaHAL. Disponivel em: http://ciips.ee.uwa.edu.au/~hutch/research/papers/ .",,,,,,,,,,"HUTCHENS,",,,,,,
