#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"A troca simbolica e a morte. Traducao de Maria Stela Goncalves e Adail Ubirajara. Sao Paulo, Loyola, 1996.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"As estrategias fatais. Traducao de Ana maria Scherer. Rio de Janeiro, Rocco, 1996b.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"A transparencia do mal. Ensaio sobre os fenomenos extremos. Traducao de Estela dos Santos Abreu. Campinas (SP), Paripus, 1990.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"A ilusao do fim ou a greve dos acontecimentos. Traducao de Manuela Torres. Lisboa, Ed. Terramar, s/d.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"Da seducao. Traducao de Tania Pellegrine. Campinas (SP), Papirus, 1992.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"Le crime parfait. Paris, Galilee, 1995.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"Simulacros e simulacoes. Traducao de maria Joao da Costa Pereira. Lisboa, Relogio D'Agua, 1991.",,,,,,,,,,"BAUDRILLARD, Jean.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"O homem-satelite. Estetica e mutacoes do corpo na sociedade tecnologica. Tese de Doutorado orientada por Vani Moreira Kenski. UNICAMP, 1998.",,,,,,,,,,"COUTO, Edvaldo Souza.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"Les metaphores du corps dans la machine. Approche chinique de la relation homme-machine. Tese de Doutorado orientada por jean Guilaumin, Universidade de Lyon II, Franca, 1986.",,,,,,,,,,"FAVARO, Marc.",,,,,,
2307,UFBA,,,,,,,,,,,Edvaldo Souza Couto,,,,,,,,,,,2000,http://www.compos.org.br/data/biblioteca_1362.pdf,A satelitização do corpo. Uma estratégia pós-humana de sobrevivência,,COMUNICAÇÃO E SOCIEDADE TECNOLÓGICA,PORTO ALEGRE/RS,"Do humano nas tecnicas. In SCHEPS, Ruth (ORG.) O imperio das tecnicas. Traducao de Maria Lucia Pereira. Campinas (SP), Papirus, 1996.",,,,,,,,,,"LATURS, Bruno.",,,,,,
