#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"Tempo Realidade e simbolo. In: Revista Sexta Feira, no 05. Sao Paulo: Editora Hedra, 2000.",,,,,,,,,,"SILVA, Franklin Leopoldo.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"As tecnologias da Inteligencia, o futuro dopensamento na era da informatica. Sao Paulo: Editora 34, 1993.",,,,,,,,,,"LEVY, P.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"O espaco critico. Editora 34: Sao Paulo, 1993.",,,,,,,,,,"VIRILIO, Paul.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,Um microchip no corpo. Disponivel em <http://www.ekac.org>,,,,,,,,,,"MACHADO, Arlindo.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,Por uma arte transgenica.. Disponivel em <http://www.ekac.org>,,,,,,,,,,"MACHADO, Arlindo.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"O inumano, consideracoes sobre o tempo. Lisboa: Editorial Estampa, 1990.",,,,,,,,,,"LYOTARD, Jean-Francois.",,,,,,
2084,PUCMG,,,,,,,,,,,Eduardo Antonio de Jesus,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_961.pdf,A experiência temporal e estética na inscrição tecnológica da obra transgênica de Eduardo Kac,,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,Trangenic Art. Disponivel em <http://www.ekac.org>,,,,,,,,,,"EDUARDO, Kac.",,,,,,
2085,UFRJ,,,,,,,,,,,Nina Velasco Cruz,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_960.pdf,"Arte e tecnologia – afectos, perceptos, functivos e prospectos",,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"A arte da desaparicao, Rio de Janeiro: Editora UFRJ, Col. N-Imagem, 1997.",,,,,,,,,,"BAUDRILLARD, J.",,,,,,
2085,UFRJ,,,,,,,,,,,Nina Velasco Cruz,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_960.pdf,"Arte e tecnologia – afectos, perceptos, functivos e prospectos",,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,"Rio de Janeiro: Editora 34, 1992.",,,,,,,,,,"DELEUZE,","GUATARRI, O que e filosofia.",,,,,
2085,UFRJ,,,,,,,,,,,Nina Velasco Cruz,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_960.pdf,"Arte e tecnologia – afectos, perceptos, functivos e prospectos",,CRIAÇÃO E POÉTICAS DIGITAIS,RIO DE JANEIRO/RJ,Exegese Rabinica: Midrash. Artigo disponivel em www.pletz.com/chadi1.htm,,,,,,,,,,"FERREIRA, C.",,,,,,
