#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Disjuncture and Difference in the Global Cultural Economy. Theory, Culture & Society, v. 7, n. 2, 1990; pp. 295-310.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"APPADURAI, A.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Dimensoes culturais da globalizacao: a modernidade sem peias. Lisboa: Editorial Teorema, 2004.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"APPADURAI, A.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Minisseries: la creme de la creme da ficcao na TV. Revista USP, Sao Paulo, n. 61, p. 94-101,mar./maio 2004. Disponivel em: < http://migre.me/sNPCP>. Acesso em: 25 jan.. 2016.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BALOGH, Anna Maria.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"(VOLOCHINOV). Marxismo e filosofia da linguagem. Sao Paulo: Hucitec, 1988.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BAKHTIN, M.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Estetica da criacao verbal. Sao Paulo: Martins Fontes, 1992.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BAKHTIN, M.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Problemas da poetica de Dostoievski. Rio de Janeiro: Forense Universitaria, 2005.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BAKHTIN, M.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"A cultura popular a Idade Media e no Renascimento: o contexto de Francois Rabelais. Sao Paulo: Hucitec, 2008.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BAKHTIN, M.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"On Glocalization: or Global for some, Localization for others. Thesis Eleven, n. 54, ago./1998. Disponivel em: <http://migre.me/w3LYW>. Acesso em: 10 fev. 2017.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BAUMAN, Z.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Bakhtin e a natureza constitutivamente dialogica da linguagem. In: ___. Bakhtin: dialogismo e construcao de sentido. 2a ed. Campinas: Ed. Unicamp, 2005, p. 87-98.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BRAIT, B.",,,,,,
70,USP,,,USP,,,,,,,,Maria Cristina Palma Mungioli,,,Anderson Lopes Da Silva,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_U93ZEIJQDUE9RVSKOYXF_26_5796_21_02_2017_11_09_32.pdf,A CARNAVALIZAÇÃO E O GROTESCO NA MINISSÉRIE “AMORTEAMO”: uma análise à luz da produção de sentido em Bakhtin,,CULTURA DAS MÍDIAS,SÃO PAULO/SP,"Cultura Popular na Idade Moderna. Trad. Denise Bottmann. Sao Paulo: Companhia das Letras, 2002.",Producao de sentido,"""Amorteamo""",Ficcao Televisiva,,,,,,,"BURKE, Peter.",,,,,,
