#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,": Digitalizacao e sociedade: o caso do setor musical. Conferencia inaugural do II Congresso da Uniao Latina de Economia Politica da Informacao, a Comunicacao e a Cultura, secao Brasil (ULEPICC-Brasil), Universidade Estadual Paulista ""Julio de Mesquita Filho"", Sao Pablo, 13-15 de Agosto de 2008.",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"ALBORNOZ, Luis A.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"e HERSCHMANN, M. La industria de la musica em transicion. Tenerife: Cabildo de Tenerife, 2010 (no prelo).",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"ALBORNOZ, Luis A.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,Mercado brasileiro de musica 2009. Rio de Janeiro. em: http://www.abpd.org.br/downloads/Mercado_Fonografico_BR_15abril09.pdf. Acesso em: 05 de Fevereiro de 2010. Disponivel Janeiro:,Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,ASSOCIACAO BRASILEIRA DE PRODUTORES DE DISCOS.,,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,2009. Rio de,Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"ABPD,",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Pesquisa sobre o uso das tecnologias da informacao e da comunicacao no Brasil: TIC domicilios e TIC empresas 2008. Sao Paulo: CGI.br, 2009. Disponivel em:",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,COMITE GESTOR DA INTERNET NO BRASIL.,,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Os donos da voz: industria fonografica brasileira e mundializacao da cultura. Sao Paulo: Boitempo, 2000.",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"DIAS, Marcia T.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,Alguns apontamentos sobre a reestruturacao da industria da musica. In: ___;,Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"HERSCHMANN, M.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"(org.). Novos rumos da cultura da midia. Rio de Janeiro: Mauad X, 2006. p. 161-188.",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"FREIRE FILHO, J.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Lapa: cidade da musica. Rio de Janeiro: Mauad X, 2007.",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"FREIRE FILHO, J.",,,,,,
1154,UFRJ,,,UC3M,UFRJ,,,,,,,Leonardo Gabriel De Marchi,,,Luis Alfonso Albornoz,Micael Herschmann,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1488.pdf,A procura de novos negócios fonográficos,,ECONOMIA POLÍTICA E POLÍTICAS DE COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Ups and downs: economic and cultural effects of file sharing on music, film and games. em: http://www.tno.nl/content.cfm?context=markten&content=publicatie&laag1=193&laag2=1&item_id=474. Acesso em: 08 de Janeiro de 2010. Amsterdam: Disponivel",Industria fonografica,Brasil,Empresas culturais,Tecnologiasdigitais,,,,,,"HUYGEN, Anneliesli.",et al.,,,,,
