#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"The Coming Community. Traducao Michael Hardt. Minneapolis/London: University of Minnesota Press, 1993.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"AGAMBEN, G.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Org.). O ensino de comunicacao frente as diretrizes curriculares. Sao Paulo: Intercom E-Book, 2015.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"ALMEIDA, F. F.","SILVA, R. B. DA;","MELO, M. B.",MARQUES DE (,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Was ist Politik? Fragmente aus dem Nachlass. Munchen/Zurich: Piper, 1993.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"ARENDT, H.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Die uneingestehbare Gemeinschaft. Traducao Gerd Bergfleth. Berlin: Matthes & Seitz, 2007.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"BLANCHOT, M.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,Communitas: Origen y destino de la comunidad. Traducao Carlo Rodolfo,Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"ESPOSITO, R.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"inari Marotto. Buenos Aires: Arnorrortu, 2003.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,Mcl,,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Communitas: Ursprung und Wege der Gemeinschaft. Traducao Sabine Schulz; Francesca Raimondi. Berlin: diaphanes, 2004.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,Mcl,,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Sein und Zeit. Frankfurt am Main: Vittorio Klostermann, 1957.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"HEIDEGGER, M.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Geschichte des Medienbegriffs. Hamburg: Felix Meiner, 2002.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"HOFFMANN, S.",,,,,,
80,USP,,,,,,,,,,,Maurício Augusto Pimentel Liesen Nascimento,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_XVYZED7N84M4V77BTDAQ_26_5775_21_02_2017_10_40_33.pdf,A COM-PARTILHA: sobre a comunicação (do) social,,EPISTEMOLOGIA DA COMUNICAÇÃO,SÃO PAULO/SP,"Cartesianische Meditationen: Eine Einleitung in die Phanomenologie. 2. ed. Hamburg: Felix Meiner Verlag, 1987.",Comunicacao social,Filosofia da comunicacao Epistemologiada comunicacao,,,,,,,,"HUSSERL, E.",,,,,,
