#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"A cultura popular na idade media e no renascimento. Sao Paulo-Brasilia: Edunb - Hucitec, 1993.",,,,,,,,,,"BAKHTIN, M.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"Dos meios as mediacoes. Rio de Janeiro: Editora UFRJ, 1997.",,,,,,,,,,"BARBERO, J.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"O poder simbolico. Lisboa: Difel, 1989.",,,,,,,,,,"BOURDIEU, P.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"A imagem, uma arte ou memoria in Papel da memoria. Campinas: Pontes, 1999.",,,,,,,,,,"DAVALLON, J.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"O dizer e o dito. Sao Paulo: Brasiliense, 1990.",,,,,,,,,,"DUCROT, O.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"A verdade e as formas juridicas. Rio de Janeiro: Nau Editora, 1998.",,,,,,,,,,"FOUCAULT, M.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"Eu, Pierre Riviere, que degolei minha mae, minha irma e meu irmao. Rio de Janeiro: Edicoes Graal, 1984.",,,,,,,,,,"FOUCAULT, M.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"A administracao dos conflitos no Brasil: a logica da punicao, in Cidadania e Violencia. Rio de Janeiro: UFRJ/FGV, 1996.",,,,,,,,,,"KANT DE LIMA, R.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"A linguagem e seu funcionamento. Sao Paulo: Brasiliense, 1984.",,,,,,,,,,"ORLANDI, E.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"Analise de discurso - principios e procedimentos. Campinas: Pontes, 1999.",,,,,,,,,,"ORLANDI, E.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"As formas do silencio. Campinas: Editora da UNICAMP, 1997.",,,,,,,,,,"ORLANDI, E.",,,,,,
2100,UNESA,,,,,,,,,,,Kleber Mendonça,,,,,,,,,,,2002,http://www.compos.org.br/data/biblioteca_1199.pdf,A não-voz do criminoso: o Linha Direta como crônica moral contemporânea,,ESTRATÉGIAS E POLÍTICAS DE COMUNICAÇÃO (GT INATIVO),RIO DE JANEIRO/RJ,"O discurso - estrutura ou acontecimento . Campinas: Pontes, 1997.",,,,,,,,,,"PECHEUX, M.",,,,,,
