#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Le champ aveugle. Paris: cahiers du cinema, 1999.",Fotografia,Cidade,Haptico,,,,,,,"BONITZER, P.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Sahara. L'esthetique de Gilles Deleuze. Paris: JVrin, 2005.",Fotografia,Cidade,Haptico,,,,,,,"BUYDENS, M.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Francis Bacon: a logica da sensacao. Rio de Janeiro: Jorge Zahar Ed, 2007.",Fotografia,Cidade,Haptico,,,,,,,"DELEUZE, G.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"e GUATTARI, F. Mil Platos. Capitalismo e Esquizofrenia - vol 5. Sao Paulo: Ed. 34, 1997.",Fotografia,Cidade,Haptico,,,,,,,"DELEUZE, G.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"A semelhanca informe ou o gaio saber visual segundo Georges Bataille. Rio de Janeiro: Contraponto, 2015.",Fotografia,Cidade,Haptico,,,,,,,"DIDI-HUBERMAN, G.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Cinema, video Godard. Sao Paulo: Cosac e Naif, 2004. fotografia como de exercicio possibilidades.",Fotografia,Cidade,Haptico,,,,,,,"DUBOIS, P.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Walker Evans et la question du sujeit. Revue Communications, n 71, 2001, p. 63- 103.",Fotografia,Cidade,Haptico,,,,,,,"CHEVRIER,F.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,A em: 2011. Disponivel http://www.galeriavermelho.com.br/sites/default/files/artistas/textos/2011_RONALDO%20ENTLER_Fotograf ia%20como%20exerc%C3%ADcio%20de%20possibilidades%20-%20revisado%20e%20revisado.pdf,Fotografia,Cidade,Haptico,,,,,,,"ENTLER, R.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"(Org.). Narrativas sensoriais. Rio de Janeiro: Circuito, 2014.",Fotografia,Cidade,Haptico,,,,,,,"GONCALVES, O.",,,,,,
90,UFRJ,,,,,,,,,,,Victa De Carvalho,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_0QT61RLLHLMPF1UAUK9T_26_5836_21_02_2017_14_40_35.pdf,"Fotografia, Cotidiano e Cidade: entre o ver e o habitar a imagem",,"ESTUDOS DE CINEMA, FOTOGRAFIA E AUDIOVISUAL",SÃO PAULO/SP,"Fotografia Contemporanea: entre o cinema, o video e as novas midias. Rio de Janeiro: Senac, 2013.",Fotografia,Cidade,Haptico,,,,,,,"FATORELLI, A.",,,,,,
