#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"La cuarta pantalla: industrias culturales y contenido movil. In: ___. Sociedad movil. Tecnologia, identidad y cultura. Madrid: Biblioteca Nueva, 2008. p.187-220.",Jornalismo,Home page,Modos de leitura,,,,,,,"AGUADO, J.M.","MARTINEZ, I. J.",,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"Entretenimento: valor-noticia fundamental. Estudos em Jornalismo e Midia, v.5, n.1, p.12-23, jan./jun. 2008.",Jornalismo,Home page,Modos de leitura,,,,,,,"AGUIAR, L.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"A validade dos criterios de noticiabilidade no jornalismo digital. In: RODRIGUES, C. (org.). Jornalismo on-line: modos de fazer. Rio de Janeiro/Porto Alegre: EdPUC-Rio/Sulina, 2009.",Jornalismo,Home page,Modos de leitura,,,,,,,"AGUIAR, L.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"A construcao da noticia. Petropolis: Vozes, 2009.",Jornalismo,Home page,Modos de leitura,,,,,,,"ALSINA, M.R.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"Jornalismo popular. Sao Paulo: Contexto, 2011.",Jornalismo,Home page,Modos de leitura,,,,,,,"AMARAL, M. F.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"Imagined communities: reflections on the origin and spread of nationalism. London: Verso Editions, 1991.",Jornalismo,Home page,Modos de leitura,,,,,,,"ANDERSON, B.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"Jornalista em mutacao: do cao de guarda ao mobilizador de audiencia. Florianopolis: Insular, 2014.",Jornalismo,Home page,Modos de leitura,,,,,,,"BARSOTTI, A.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"A sombra das maiorias silenciosas ou o fim do social. Sao Paulo: Brasiliense, 1998.",Jornalismo,Home page,Modos de leitura,,,,,,,"BAUDRILLARD, J.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"Magia e tecnica, arte e politica: ensaios sobre literatura e historia da cultura. Vol. I. Sao Paulo: Brasiliense, 1987.",Jornalismo,Home page,Modos de leitura,,,,,,,"BENJAMIN, W.",,,,,,
100,PUCRJ,,,PUCRJ,,,,,,,,Leonel Azevedo De Aguiar,,,Adriana,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_FIZ9B2A7J51LFFPMEPUG_26_5465_18_02_2017_18_44_07.pdf,A INVISIBILIDADE DA HOME PAGE E AS MUDANÇAS NOS MODOS DE LEITURA DAS NOTÍCIAS,,ESTUDOS DE JORNALISMO,SÃO PAULO/SP,"The leaked New York Times innovation report is one of the key documents of this media age. Nieman Journalism Lab, v. 15, 2014.",Jornalismo,Home page,Modos de leitura,,,,,,,"BENTON, J.",,,,,,
