#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
110,Univali,,,,,,,,,,,Laura Seligman,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_F8WT2MN4YJQOG3H38HGE_26_5240_08_02_2017_10_57_12.pdf,A MÚSICA E A CONSTRUÇÃO DE IDENTIDADES EM AMBIENTES ONLINE ,,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"The mathematical theory of communication. Urbana: University of Illinois Press, 1962.",Musica,Consumo midiatico,Identidades,,,,,,,"SHANNON, C;","WEAVER, W.",,,,,
110,Univali,,,,,,,,,,,Laura Seligman,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_F8WT2MN4YJQOG3H38HGE_26_5240_08_02_2017_10_57_12.pdf,A MÚSICA E A CONSTRUÇÃO DE IDENTIDADES EM AMBIENTES ONLINE ,,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"A midia e a modernidade: uma teoria social da midia. Petropolis: Vozes, 1998.",Musica,Consumo midiatico,Identidades,,,,,,,"THOMPSON, John B.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"L'obvie et l'obtus. Paris, Franca: Ed. du Seuil, 1982.",Sampleamento,Disseminacao,Musica pop,,,,,,,"BARTHES, R.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"From work to text. In: The rustle of language. Berkeley, EUA: University of California Press, 1989.",Sampleamento,Disseminacao,Musica pop,,,,,,,"BARTHES, R.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"Memoria e vida. Sao Paulo, SP: Martins Fontes, 2011.",Sampleamento,Disseminacao,Musica pop,,,,,,,"BERGSON, Henri.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"From microsound to vaporwave: Internet-mediated musics, online methods, and genre, Music and Letters. S/D, No prelo.",Sampleamento,Disseminacao,Musica pop,,,,,,,"BORN, G.","HAWORTH, C.",,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"The aesthetics of failure: ""post-digital"" tendencies in contemporary music. In: COX, C.;",Sampleamento,Disseminacao,Musica pop,,,,,,,"CASCONE, Kim.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"Audio culture: readings in modern music EUA: Bloomsbury, 2013, pp. 392-397.",Sampleamento,Disseminacao,Musica pop,,,,,,,"WARNER, D.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"Musicas, media e tecnologias. Lisboa, Portugal: Instituto Piaget, 1994.",Sampleamento,Disseminacao,Musica pop,,,,,,,"CHION, Michel.",,,,,,
111,IFRS,,,UFRGS,,,,,,,,Marcelo Bergamin Conter,,,Cássio,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_IJMN5OK6LW8O0AR9R54G_26_5622_21_02_2017_10_03_02.pdf,"ALL STAR, MAS É UM ARTIGO SOBRE SAMPLEAMENTO E NOVAS FORMAS DE DISSEMINAÇÃO DE FANTASMAS FONOGRÁFICOS",,ESTUDOS DE SOM E MÚSICA,SÃO PAULO/SP,"Guide des objets sonores : Pierre Schaeffer et la recherche musicale. Paris, Franca : Bhucet/Chastel, 1995",Sampleamento,Disseminacao,Musica pop,,,,,,,"CHION, Michel.",,,,,,
