#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Lo obvio y lo obtuso: imagenes, gestos, voces. Barcelona: Paidos, 1986.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"BARTHES, Roland.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"La double nature du symphonisme hollywoodien: Max Steiner et autant en emporte le vent. In: MASSON, Marie-Noelle e MOUELLI, Gilles. Musiques et images au cinema. Rennes: Press Universitaire des Rennes, 2002, p. 31-36.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"BERTHOMIEU, Pierre.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A linguagem musical. Lisboa: Edicoes 70, 2003.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"BOUCOURECHLIEV, Andre.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Television Style. Nova York e Abingdon (UK): Routledge, 2010. Kindle edition.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"BUTLER, Jeremy G.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A Audiovisao: Som e Imagem no Cinema. Lisboa: Texto & Grafia, 2008.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"CHION, Michel.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"O xamanismo: Tecnicas arcaicas do extase. 2.a ed. Sao Paulo: Martins Fontes, 2002.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"ELIADE, Mircea.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Critical Thinking. Upper Saddle River, NJ: Prentice-Hall, 1996.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"ENNIS, Robert H.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Musica eletronica e xamanismo: tecnicas contemporaneas do extase. Tese de doutoramento. Campinas, Unicamp, 2006.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"FERREIRA, Pedro Peixoto.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"The distracted mind: ancient brains in a high- tech world. Cambridge/MA e Londres: MIT Press, 2016.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"GAZZALEY, Adam;","ROSEN, Larry D.",,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Cognitive science, literature and the arts: a guide for humanists. Nova York e Londres: Routledge, 2003. Kindle Edition.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"HOGAN, Patrick Colm.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Everything bad is good for you: how today's popular culture is actually making us Smarter. Nova York: Riverhead Books, 2005.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"JOHNSON, Steven.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Cultura da convergencia. 2.a ed. Sao Paulo: Aleph, 2009.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"JENKINS, Henry.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,de. Memoria e identidade na telenovela brasileira. Anais do,Ficcao seriada,Imagem,Trilha sonora,,,,,,,"LOPES, Maria Immacolata V.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,Disponivel em: http:///biblioteca/templatexxiiicompos_2278-1_2246.pdf Acesso em: 15 fev. 2017.,Ficcao seriada,Imagem,Trilha sonora,,,,,,,XXIII .,,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A arte do video. 3.a ed. Sao Paulo: Brasiliense, 1995.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"MACHADO, Arlindo.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A dimensao sonora da linguagem audiovisual. Sao Paulo: Senac, 2006.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"RODRIGUEZ, Angel.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A geracao romantica. Sao Paulo: EdUSP, 2000.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"ROSEN, Charles.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Logica. 2.a ed. Rio de Janeiro: Zahar, 1971.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"SALMON, Wesley C.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"A afinacao do mundo. Sao Paulo: EDUNESP, 1997.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"SCHAFER, Murray.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"B. Cultura das series: forma, contexto e consumo de ficcao seriada na contemporaneidade. Galaxia (Sao Paulo, Online), n.o 27, p. 241-252, jun. 2014. Disponivel em http://revistas.pucsp.br/index.php/galaxia/article/view/15810 Acesso em: 10 fev. 2017.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"SILVA, Marcel V.",,,,,,
120,UAM,,,UAM,,,,,,,,Renato Luiz Pucci Junior,,,Mauricio M Monteiro,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_5429H2UMVL8CHYV4753W_26_5590_19_02_2017_10_46_26.pdf,A Elaboração Audiovisual como Fator para Manter a Atenção em Cenas Complexas de Dr. House,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Introducao a teoria pos-tonal. Sao Paulo: Unesp, 2012.",Ficcao seriada,Imagem,Trilha sonora,,,,,,,"STRAUS, Joseph Nathan.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"O espaco biografico: dilemas da subjetividade contemporanea. Rio de Janeiro: EdUERJ, 2010.",Televisao,YouTube,Testemunho,,,,,,,"ARFUCH, L.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Os generos do discurso. In: ___. Estetica da criacao verbal. Sao Paulo: Martins Fontes, 1997.",Televisao,YouTube,Testemunho,,,,,,,"BAKHTIN, M.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Therapeutic culture and self-help literature. In: LANDINI, T. S. e DEPELTEAU, F. Norbert Elias and empirical research. London: Palgrave, 2014.",Televisao,YouTube,Testemunho,,,,,,,"BEJAR, H.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Mal-estar na atualidade. Rio de Janeiro: civilizacao brasileira, 2000.",Televisao,YouTube,Testemunho,,,,,,,"BIRMAN, J.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Sou visto, logo existo. In: ALBERT, N. e HAROCHE, C. (orgs). Tiranias da visibilidade. Sao Paulo: Ed.Unifesp, 2013.",Televisao,YouTube,Testemunho,,,,,,,"BIRMAN, J.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Televisuality: style, crisis, and authority in American television. New Brunswick: Rutgers University Press, 1995.",Televisao,YouTube,Testemunho,,,,,,,"CALDWELL, J. T.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Personagens de si nas videografias do YouTube. Eco-Pos (UFRJ), v. 12, n.2, p.206-219, 2009.",Televisao,YouTube,Testemunho,,,,,,,"COSTA, B.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Revolutions within: self-government and self-esteem. In: BARRY A.; OSBORNE, T.;",Televisao,YouTube,Testemunho,,,,,,,"CRUIKSHANK, B.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"(orgs.) Foucault and Political Reason. London: Routledge, 1996.",Televisao,YouTube,Testemunho,,,,,,,"ROSE, N.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"The empire of trauma. Princeton: Princeton University Press, 2009.",Televisao,YouTube,Testemunho,,,,,,,"FASSIN, D.","RECHTMAN, R.",,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"The return of the voice: Claude Lanzmann's Shoah. In: FELMAN, S. e LAUB, D. Testimony: crises of witnessing in literature, psychoanalysis, and history. New York and London: Routledge, 1992.",Televisao,YouTube,Testemunho,,,,,,,"FELMAN, S.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Historia da Sexualidade I: a vontade de saber. Rio de Janeiro: Graal, 1988.",Televisao,YouTube,Testemunho,,,,,,,"FOUCAULT, M.",,,,,,
121,UFRJ,,,Fiocruz,,,,,,,,Igor Sacramento,,,Wilson Couto Borges,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_GF087NZQP58S4N4NJ8MU_26_5675_19_02_2017_19_06_57.pdf,A televisualidade midiatizada do testemunho: a dismorfia corporal num canal do YouTube,,ESTUDOS DE TELEVISÃO,SÃO PAULO/SP,"Renovacoes da filantropia televisiva. In: ___. (org.). A TV em transicao. Porto Alegre: Sulina, 2009.",Televisao,YouTube,Testemunho,,,,,,,"FREIRE FILHO, J.",,,,,,
