#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Eloge du paraitre. Paris: P.O.L. editeur, 2000.",Aparencia,Corpo,Presenca,,,,,,,"CAMUS, Renaud.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"A moral da mascara: merveilleux, zazous, dandis, punks, etc. Trad. Ana Maria Sherer. Rio de Janeiro: Rocco, 1993.",Aparencia,Corpo,Presenca,,,,,,,"BOLLON, Patrice.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"La Distinction. Paris: Editions de Minuit, 1979.",Aparencia,Corpo,Presenca,,,,,,,"BOURDIEU, Pierre.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"A sociologia do corpo. 2 ed. Traducao de Sonia M.S. Fuhrmann. Petropolis, RJ : Vozes, 2007.",Aparencia,Corpo,Presenca,,,,,,,"BRETON, David Le.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"La mise en scene de la vie quotidienne : la presentation de soi. Paris : Editions de Minuit, 1973.",Aparencia,Corpo,Presenca,,,,,,,"GOFFMAN, Erving.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"O Imperio do Efemero: a moda e seu destino nas sociedades modernas. Traducao de Maria Lucia Machado. Sao Paulo: Companhia das Letras, 1989.",Aparencia,Corpo,Presenca,,,,,,,"LIPOVETSKY, Gilles.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Fenomenologia da percepcao. Sao Paulo: Martins Fontes, 1994.",Aparencia,Corpo,Presenca,,,,,,,"MERLEAU-PONTY, Maurice.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Resumes de cours. Paris: Gallimard, 1968.",Aparencia,Corpo,Presenca,,,,,,,"MERLEAU-PONTY, Maurice.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Os meios de comunicacao como extensoes do homem. Traducao de Decio Pignatari. Sao Paulo: Editora Cultrix Ltda., 1964.",Aparencia,Corpo,Presenca,,,,,,,"McLUHAN, Marshall.",,,,,,
1174,UFRB,,,,,,,,,,,Renata Pitombo Cidreira,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1508.pdf,A aparência corporal como estilização da presença,,ESTÉTICAS DA COMUNICAÇÃO,RIO DE JANEIRO/RJ,"Dicionario de filosofia. Sao Paulo: Edicoes Loyola, 2001.",Aparencia,Corpo,Presenca,,,,,,,"MORA, Jose Ferrater.",,,,,,
