#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"A camera clara: nota sobre a fotografia. Rio de Janeiro: Nova Fronteira, 1998.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"BARTHES, Roland.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"Images a la sauvette. Paris: Editions Verve, 1952.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"CARTIER-BRESSON, Henri.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"A fotografia moderna no Brasil. Sao Paulo: Cosac Naify, 1995.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"COSTA, Helouise;","SILVA, Renato Rodrigues.",,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"O ato fotografico e outros ensaios. Campinas: Papirus, 1993.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"DUBOIS, Philippe.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"O imaginario: ensaio acerca das ciencias e da filosofia da imagem. Rio de Janeiro: Difel, 2004.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"DURAND, Gilbert.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"""Fotografia, interatividade, interacoes: a construcao das realidades"". In: XXIX Congresso Brasileiro de Ciencias da Comunicacao - Anais. Natal: Intercom, 2008.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"FOGLIANO, Fernando;","CAMARGO, Denise.",,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"""Pedro Meyer: truths, fictions and reasonable doubts"". In: MEYER, Pedro. Truths and fictions: a journey from documentary to digital photography. Nova Iorque: Aperture, 1995.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"FONTCUBERTA, Joan.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"Modos de fazer mundos. Porto: Edicoes Asa, 1995.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"GOODMAN, Nelson.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"""Pedro Meyer: becoming photo-digital"". In: MEYER, Pedro. The real and the truth: the digital photography of Pedro Meyer. Berkeley: New Riders, 2006.",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"KAPLAN, Louis.",,,,,,
1194,UFMG,,,,,,,,,,,Ana Carolina Lima Santos,,,,,,,,,,,2010,http://www.compos.org.br/data/biblioteca_1528.pdf,A fotografia entre documento e expressão,,"FOTOGRAFIA, CINEMA E VÍDEO",RIO DE JANEIRO/RJ,"""Credibility of digital newsphotos"". In: Association for education in journalism and mass communication. Kansas City: AEJMC, 1993",Fotografia documental,fotografia digital,Pedro Meyer,,,,,,,"KELLY, James;","NACE, Diona.",,,,,
