#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Passagen-Werk. Gesammelte Schriften V/1. Frankfurt a. M.: Suhrkamp Verlag, 1991.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"BENJAMIN, W.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Techniques of the observer: on vision and modernity in the nineteenth century. Massachusetts: MIT Press, Cambridge, 1990.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"CRARY, J.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"De la grammatologie, Paris: Les Editions de Minuit, 1967.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"DERRIDA, J.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Brasilien oder die Suche nach dem neuen Menschen. Mannheim: Bollmann Verlag, 1994.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"FLUSSER, V.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Die Schrift - Hat Schreiben Zukunft?, Frankfurt a. M.: Fischer Taschenbuch Verlag, 1992.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"FLUSSER, V.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Fur eine Philosophie der Fotografie, Gottingen: European Photography, 1982.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"FLUSSER, V.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Wahrheit und Methode. Grundzuge einer philosophischen Hermeneutik. Tubingen: J. C. B. Mohr (Paul Siebeck), 1990.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"GADAMER, H-G.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"A razao na historia, Introducao a Filosofia da Historia, (Trad.) Artur Morao, Textos Filosoficos, Lisboa: Edicoes 70, 1995.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"HEGEL, G.J.F.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Brief uber den Humanismus. In Wegmarken, pp. 313-364, Frankfurt a. M.: Vittorio Klostermann, 19963",Historia,Tradicao,Imagens Tecnicas,,,,,,,"HEIDEGGER, M.",,,,,,
130,FCT-CFUL,,,,,,,,,,,Dirk Michael Hennrich,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_8OCSPPMCHC898KRO9Y8P_26_5550_21_02_2017_14_29_05.pdf, HISTÓRIA E TRADIÇÃO NO UNIVERSO DAS IMAGENS TÉCNICAS.,,IMAGEM E IMAGINÁRIOS MIDIÁTICOS,SÃO PAULO/SP,"Beilage III, zu SS9a, Die Frage nach dem Ursprung der Geometrie als intentionalhistorisches Problem., In Die Krise der Europaischen Wissenschaften und ie Transzendentale Phanomenologie. Husserliana Band VI, Haag: Martinus Nijhoff, 1976.",Historia,Tradicao,Imagens Tecnicas,,,,,,,"HUSSERL, E.",,,,,,
