#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"O que e o contemporaneo? E outros ensaios. Chapeco: Argos, 2009.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"AGAMBEN, Giorgio.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,Reimagining the history of the experience of cinema in a post-moviegoing age. In:,Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"ALLEN, Robert C.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Phillippe (orgs.). Explorations in New Cinema History: approaches and case studies. Oxford: Wiley-Blackwell, 2011. pp. 41-57.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"MALTBY, Richard;","BILTEREYST, Daniel;","MEERS,",,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,http://oca.ancine.gov.br/sites/default/files/cinema/pdf/2301_0.pdf . Acesso em: 9 fevereiro 2017.,Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,ANCINE.,,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Karina e MORAN, Albert (orgs.). Watching films: new perspectives on movie-going, exhibition and reception. Bristol; Chicago: Intelect, 2013.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"AVEYARD,",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"(orgs.). Le Cinema dans la cite. Paris: Editions du Felin, 2001.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"BAUDRY, Olivier.",et al.,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Cinema, audiences and modernity: an introduction. In: BILTEREYST, Daniel; MALTBY, Richard; MEERS, Philippe (orgs.). Cinema, audiences and modernity: new perspectives on European cinema history. New York: Routledge, 2012.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"BILTEREYST, Daniel;","MALTBY, Richard;","MEERS, Philippe.",,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Relatorio Final da CPI do Belas Artes. Sao Paulo: Camara Municipal, em: http://www1.camara.sp.gov.br/central_de_arquivos/vereadores/CPI%20BELAS%20ARTES%20RELAT%C3% 93RIO%20FINAL.pdf . Acesso em: 10 fevereiro 2017.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,CAMARA MUNICIPAL DE SAO PAULO.,,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,Disponivel em: http://www.caixabelasartes.com.br/ . Acesso em: 18 fevereiro 2017,Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,CINE BELAS ARTES.,,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Consumed Nostalgia: Memory in the Age of Fast Capitalism. New York: Columbia University Press, 2015.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"CROSS, Garry.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"A segunda Cinelandia carioca. Rio de Janeiro: Morula, 2012.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"FERRAZ, Talitha.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Activating nostalgia: cinemagoer's performances in Brazilian movie theatres reopening and protection cases. Medien&Zeit, n.4, 2017, pp. 72-82. Disponivel em: http://medienundzeit.at/talitha-ferraz- activating-nostalgia/ . Acesso em: 17 fevereiro 2017.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"FERRAZ, Talitha.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Espectacao cinematografica no suburbio carioca da Leopoldina: dos ""cinemas de estacao"" as experiencias contemporaneas de exibicao. 235f. Tese: doutorado (ECO-UFRJ). Universidade Federal do Rio de Janeiro, Rio de Janeiro, 2014. dez. 47p. Relatorio tecnico. Disponivel 2012.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"FERRAZ, Talitha.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Usos e instrumentalizacoes da memoria em reabertura de antigos cinemas: De Roma, um caso belga. Contracampo, Niteroi, v. 35, n. 03, dez. 2016/ mar. 2017. pp. 164-186. ___ e SANTACRUZ, Lucia. Salvos pela memoria: mobilizacao coletiva e consumo cinematografico no caso da luta pelo Estacao. In: Congresso Internacional Comunicacao e Consumo - Comunicon. 2016, Sao Paulo, Anais... Sao Paulo: ESPM, 2016. Disponivel em: http://anais-comunicon2016.espm.br/ . Acesso em: 19 fevereiro 2017.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"FERRAZ, Talitha.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Microfisica do poder. Sao Paulo: Graal, 1979.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"FOUCAULT, Michel.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Andre e MARION, Philippe. O fim do cinema? Uma midia em crise na era digital. Trad.: Christian Pierre Kasper. Campinas, Sao Paulo: Papirus, 2016.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"GAUDREAULT,",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Palacios e Poeiras: 100 anos de cinema no Rio de Janeiro. Rio de Janeiro: Ministerio da Cultura, Funarte, Record, 1996.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"GONZAGA, Alice.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"A memoria coletiva. Sao Paulo: Vertice, 1990.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"HALBWACHS, Maurice.",,,,,,
140,ESPM,,,,,,,,,,,Talitha Gomes Ferraz,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_HPNQMODZ50HZQ6HG79OE_26_5661_19_02_2017_15_15_07.pdf,A MEMÓRIA DA IDA AO CINEMA E A MOBILIZAÇÃO DAS AUDIÊNCIAS NO CASO DO CINE BELAS ARTES,,MEMÓRIA NAS MÍDIAS,SÃO PAULO/SP,"Culturas do passado-presente: modernismos, artes visuais, politicas da memoria. Rio de Janeiro: Contracampo, MAR, 2014.",Memoria do cinema,Reabertura de cinemas de rua,Mobilizacaosocial,,,,,,,"HUYSSEN, Andreas.",,,,,,
