#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Modernidade Liquida. Trad Plinio Dentzien Rio de Janeiro, Jorge Zahar, 2001",Telenovela,sinergia intermeios e suspense,,,,,,,,"BAUMAN, Z.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"de, GIARD L e MAYOL, P. A invencao do cotidiano 2 - morar, cozinhar, Trad Ephraim F Alves e Lucia Endilich Orth, Petropolis RJ , Vozes 1996",Telenovela,sinergia intermeios e suspense,,,,,,,,"CERTEAU, M.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Da Criacao ao Roteiro, Rio de Janeiro, Rocco, 1995",Telenovela,sinergia intermeios e suspense,,,,,,,,"COMPARATO, D.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Memoria da Telenovela Brasileira, Sao Paulo, Brasiliense, 1994, 3a ed,",Telenovela,sinergia intermeios e suspense,,,,,,,,"FERNANDES, I.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Vigiar e Punir:nascimento da prisao, trad Raquel Ramalhete, Petropolis, Vozes, 1997",Telenovela,sinergia intermeios e suspense,,,,,,,,"FOUCAULT, M.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Comunicacao e Psicanalise, Sao Paulo, Editora Escuta, 1992,",Telenovela,sinergia intermeios e suspense,,,,,,,,"FREITAS, J. M. M.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"A Leitura Interpretativa das Telenovelas. VI Congreso Latinoamericano de Investigadores de la Comunicacion (ALAIC), Santa Cruz de la Sierra, Bolivia, 2002.",Telenovela,sinergia intermeios e suspense,,,,,,,,"GOMES, M.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"O Principe Eletronico in Enigmas da modernidade-Mundo. Rio de Janeiro, Civilizacao Brasileira,",Telenovela,sinergia intermeios e suspense,,,,,,,,"IANNI, O.",,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"Mediacoes da Recepcao da Telenovela, disponivel em http://www.intercom.org.br/papers/xxii-ci/gt16/16l07.PDF acesso em 17/09/05",Telenovela,sinergia intermeios e suspense,,,,,,,,"LOPES, M. I.",et al.,,,,,
1660,USP,,,,,,,,,,,Luiz Antonio de Paula,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_556.pdf,A desconstrução do suspense na telenovela pela valorização do saber antes,,MÍDIA E RECEPÇÃO (GT INATIVO),BAURU/SP,"e REY G. Os exercicios de ver; hegemonia audiovisual e ficcao televisiva; trad Jacob Gorender Sao Paulo, Editora Senac Sao Paulo, 2001",Telenovela,sinergia intermeios e suspense,,,,,,,,"MARTIN-BARBERO, J.",,,,,,
