#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"eg, Andre e CASTRO, Cosette. Midias Digitais, Convergencia Tecnologica e Inclusao Social. Sao Paulo, Ed. Paulinas, 2005.",,,,,,,,,,BARBOSAFd,,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Sobre uma Nova Ordem tecnologica - o quadro de enlaces e dissonancias no cenario das politicas publicas de comunicacao no Brasil. V ELEPICC. Salvador, 2005 (mimeo). 15o Encontro Anual da COMPOS - Associacao Nacional dos Programas de Pos-Graduacao em Comunicacao. UNESP-Bauru, 6 a 9 de junho de 2006",,,,,,,,,,"BARBOSA FILHO, Andre.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"""Das Politicas de Comunicacao a Comunicacao Politica (e vice-e- versa)"". In: PreTextos, Salvador: Compos, 8 dez., 1997.",,,,,,,,,,"CAPARELLI, Sergio.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Televisao Digital e Inclusao Social - uma proposta de democratizacao para as novas tecnologias de comunicacao. Seminario Internacional da ALAIC/2005. Sao Paulo, 2005 (mimeo). Comite Gestor da Internet no Brasil. www.cg.org.br/indicadores/brasil-mundo, acessado em janeiro/2006.",,,,,,,,,,"CASTRO, Cosette.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Comunicacao Social: Filosofia, Etica, Politica. Sao Leopoldo: Unisinos, 1997.",,,,,,,,,,"GOMES, Pedro.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Wilson. A nova Midia- A comunicacao de massa na era da informacao. Rio de Janeiro, Ed. Zahar, 2000.",,,,,,,,,,"DIZARD, Jr.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"""A Ideologia das Maquinas: a tecnologia do computador"". In: Revista Comunicacao & Politica. Vol. III, ndeg 1, jan-abril, 1986.",,,,,,,,,,"POSTMAN, Neil.",,,,,,
1670,UNISINOS,,,UNB,,,,,,,,Cosette Castro,,,André Barbosa Filho,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_550.pdf,A convergência digital analisada sob o prisma da nova ordem tecnológica,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"""A Forca de um Aparelho Privado de Hegemonia"". In Rede Globo: 40 anos de poder e hegemonia. Sao Paulo: Ed. Paulus.",,,,,,,,,,"RAMOS, Murilo.",,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Gilberto. Web 2.0: a nova Internet e uma plataforma. In WebInsider, disponivel em http://webinsider.uol.com.br/vernoticia.php/id/2656. Acesso em 06/01/2006.",,,,,,,,,,ALVES Jr,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,e um programa para a democratizacao da Comunicacao no Brasil. 1994. Disponivel em: http://www.fndc.org.br/doc_historico/data/programa.doc. Acesso em: 13/12/2004.,,,,,,,,,,BASES d,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"5 anos de Indymedia: construindo novos modelos de comunicacao democratica. Verso & Reverso, Sao Leopoldo, Rio Grande do Sul, 2005.",,,,,,,,,,"CABRAL, Adilson.",,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"O encontro de tres mundos e um mundo de tres encontros. In Sete Pontos, disponivel em http://www.comunicacao.pro.br/setepontos/16/omiv.htm. Acesso em 06/01/2005.",,,,,,,,,,"CABRAL, Adilson.",,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Qualidade na TV pode ser reivindicada. In Sete Pontos, disponivel em http://www.comunicacao.pro.br/setepontos/qualidade.htm. Acesso em 06/01/2006.",,,,,,,,,,"CABRAL, Eula.",,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,e las Radios Comunitarias y Ciudadanas. Aprovada na VII Assembleia Mundial da,,,,,,,,,,CARTA d,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"(Europa), reunida em Milao de 23 a 29 de agosto de 1988. Disponivel em: http://www.amarc.org/page.php?topic=Carta+de+las+Radios+Comunitarias+y+CiudadanasA cesso em: 04/01/2005.",,,,,,,,,,AMARC 7,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,o Governo Lula sobre a Lei Geral de Comunicacao de Massa. Disponivel em: http://www.crisbrasil.org.br/apc-aa/cris/projetos.shtml?AA_SL_Session=81 fc7af05b8238669241d2bb5fb06253&x=238. Acesso em: 24/09/2005.,,,,,,,,,,CARTA ABERTA a,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,Outra Comunicacao e Possivel. Informativo Eletronico SETE PONTOS ndeg http://www.comunicacao.pro.br/setepontos/ 16/declaracion.htm. Acesso em: 03/01/2005.,,,,,,,,,,DECLARACAO:,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,sponivel http://www.dhnet.org.br/direitos/deconu/textos/integra.htm. Acesso em: 10/10/2004.,,,,,,,,,,DECLARACAO Di,,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"Mudar o mundo sem mudar o poder. Sao Paulo, Viramundo, 2003. 2004. Disponivel Humanos. Universal dos Direitos 16, jul. em: em: 15o Encontro Anual da COMPOS - Associacao Nacional dos Programas de Pos-Graduacao em Comunicacao. UNESP-Bauru, 6 a 9 de junho de 2006",,,,,,,,,,"HOLLOWAY, John.",,,,,,
1671,UFF,,,,,,,,,,,Adilson Vaz Cabral Filho,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_547.pdf,A emergência nos processos comunicacionais: um paradigma entre a política e a expressão popular,,POLÍTICAS E ESTRATÉGIAS DE COMUNICAÇÃO,BAURU/SP,"A nova televisao: desmassificacao e o impasse das grandes redes. Rio de Janeiro: Relume Dumara, 1996.",,,,,,,,,,"HOINEFF, Nelson.",,,,,,
