#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Inventar a Solidao. Lisboa: Asa, 2004",Discurso,Interacao,Telejornalismo,,,,,,,"AUSTER, P.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Estetica da Criacao Verbal. Sao Paulo: Martins Fontes, 2003.",Discurso,Interacao,Telejornalismo,,,,,,,"BAKHTIN, M.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Magia e Tecnica. Sao Paulo: Ed. Brasiliense, 2000.",Discurso,Interacao,Telejornalismo,,,,,,,"BENJAMIN, W.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Lembrar escrever esquecer. Sao Paulo: Ed. 34, 2006.",Discurso,Interacao,Telejornalismo,,,,,,,"GAGNEBIN, J.M.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"O livro dos abracos. Porto Alegre: L&PM, 2005.",Discurso,Interacao,Telejornalismo,,,,,,,"GALEANO, E.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Homens imprudentemente poeticos. Sao Paulo: Ed. Globo, 2016.",Discurso,Interacao,Telejornalismo,,,,,,,"MAE, V. H.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Novas tendencias em Analise do Discurso. Campinas: Pontes, 1997.",Discurso,Interacao,Telejornalismo,,,,,,,"MAINGUENEAU, D.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Analise de textos de comunicacao. Sao Paulo: Cortez, 2000.",Discurso,Interacao,Telejornalismo,,,,,,,"MAINGUENEAU, D.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"Pelo Espaco: uma nova politica da espacialidade. Rio de Janeiro: Bertrand Brasil, 2008.",Discurso,Interacao,Telejornalismo,,,,,,,"MASSEY, D.",,,,,,
150,UFF,,,,,,,,,,,Kleber Santos De Mendonça,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_T28JNO3QZX0P4M6AKNIZ_26_5384_16_02_2017_21_07_43.pdf,A INTERAÇÃO PELAS BORDAS:  telejornalismo e porosidade nas favelas cariocas ,,PRÁTICAS INTERACIONAIS E LINGUAGENS NA COMUNICAÇÃO,SÃO PAULO/SP,"A inversao do olhar: perspectivas para a analise de discurso nos estudos da comunicacao. Revista Libero (ISSN: 1517-3283), Vol. 13, n 26, pags.: 39-50, 2010.",Discurso,Interacao,Telejornalismo,,,,,,,"MENDONCA, K.",,,,,,
