#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Origem e desenvolvimento da imprensa no Rio de Janeiro. In Apontamentos historicos. Rio de Janeiro: Garnier, 1881.",Historia da leitura Editor autonomia,,,,,,,,,"AZEVEDO, Moreira de.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"A ordem dos livros: Leitores, autores e bibliotecas na Europa entre os seculos XIV e",Historia da leitura Editor autonomia,,,,,,,,,"CHARTIER, Roger.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Traducao Mary Del Priore. Brasilia: Editora UnB, 1994.",Historia da leitura Editor autonomia,,,,,,,,,XVIII.,,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Cultura escrita, literatura e historia. Conversas de Roger Chartier com Carlos Aguirre Anaya, Jesus Anaya Rosique, Daniel Goldin e Antonio Saborit. Porto Alegre, Artmed: 2001. 31 ""Ai [nas 'Miscelaneas' das folhas diarias], de modo rapido, anedotico, contam-se usos e costumes singulares (...) para atender ao gosto pelas viagens e pelos aventureiros deste leitor-entre-quatro-paredes das folhas brasileiras."" (SUSSEKIND, 1990, p. 140). Associacao Nacional dos Programas de Pos--Graduacao em Comunicacao",Historia da leitura Editor autonomia,,,,,,,,,"CHARTIER, Roger.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"contro Anual da Compos, Faculdade Casper Libero, Sao Paulo --",Historia da leitura Editor autonomia,,,,,,,,,XXVI En,,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,a de junho de,Historia da leitura Editor autonomia,,,,,,,,,"SP,",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Do livro a leitura. In Praticas da leitura. CHARTIER, Roger (Org.). Sao Paulo: Estacao Liberdade, 1996.",Historia da leitura Editor autonomia,,,,,,,,,"CHARTIER, Roger.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Poesias. Rio de Janeiro: Typographia Paula Brito, 1863.",Historia da leitura Editor autonomia,,,,,,,,,"BRITO, Francisco de Paula.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Vida e obra de Paula Brito. Iniciador do movimento editorial no Rio de Janeiro (1809-1861). Rio de Janeiro: Livraria Brasiliana Editora, 1965.",Historia da leitura Editor autonomia,,,,,,,,,"GONDIM, Eunice Ribeiro.",,,,,,
160,UFMG,,,,,,,,,,,Bruno Guimarães Martins,,,,,,,,,,,2017,http://www.compos.org.br/data/arquivos_2017/trabalhos_arquivo_QFNGB7ZCVY7JQ4MIDFQ1_26_5484_20_02_2017_20_49_17.pdf,A mecânica da autonomia: do editor-tipógrafo ao tipógrafo-leitor,,"RECEPÇÃO: PROCESSOS DE INTERPRETAÇÃO, USO E CONSUMO MIDIÁTICOS",SÃO PAULO/SP,"Ao redor de Machado de Assis: pesquisas e interpretacoes. Sao Paulo: Editora Civilizacao Brasileira, 1958.",Historia da leitura Editor autonomia,,,,,,,,,"MAGALHAES JUNIOR, R.",,,,,,
