#,AI1,AI10,AI11,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AN1,AN10,AN11,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,ANO,ARQ,ART,ATM,GTR,LOC,OBR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RA1,RA2,RA3,RA4,RA5,RA6,RA7
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Investigating the world of walkman users. In: New Media and Society, 2001.vol.3 (2); 179-197. London, Thousand Oaks, Ca and New Delhi.",,,,,,,,,,"BULL, Michael - The world according to sound.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Danilo Fraga - MP3, a morte do album e o sonho de liberdade da cancao? -",,,,,,,,,,"DANTAS,",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"o V Enlepicc. Salvador, BA. Novembro de 2005",,,,,,,,,,ANAIS d,,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"On the value of popular music.Harvard Univ Press, Cambridge, Massachussets.1996",,,,,,,,,,"FRITH, Simon - Performing Rites.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Jeder Silveira - Musica popular ou musica pop? Trajetorias e Caminhos da Musica na cultura mediatica. V Enlepicc. Salvador, Ba. Nov 2005. ___ - A procura da batida perfeita: a importancia do genero musical para a analise da musica popular massiva. Revista Eco-Pos. Rio de Janeiro.Pos-Graduacao em Comunicacao e Cultura. UFRJ. Vol. 6, n.2, 2003, p31-46.",,,,,,,,,,JANOTTI Jr,,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Uma historia dos formatos fonograficos.E- Compos, n.2 julho de 2004. Disponivel em http///e-compos.",,,,,,,,,,"MARCHI, Leonardo de - A angustia do formato.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,a XVIII,,,,,,,,,,"SA, Simone Pereira de - Mediacoes musicais atraves do telefone celular.",ANAIS d,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"2005. 15o Encontro Anual da COMPOS - Associacao Nacional dos Programas de Pos-Graduacao em Comunicacao. UNESP-Bauru, 6 a 9 de junho de 2006",,,,,,,,,,INTERCOM.,"UERJ, RJ.",,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Simone Pereira de - Musica eletronica e tecnologia: reconfigurando a discotecagem. In: Lemos e Cunha (orgs) - Olhares sobre a cibercultura. pp - 153-173. Porto Alegre, Ed. Sulinas, 2003",,,,,,,,,,"SA,",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Tem que ser underground! - Revista FAMECOS, Porto Alegre, RS. v. abril de 2005.",,,,,,,,,,"SA, Simone Pereira de;","MARCHI, Leonardo de - Nao basta ser DJ.",,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"- The origins of the 45-rpm Record at rca Victor, 1939-1948. In: Braun, Hans-Joachim(org.) - Music and technology in the twentieth century. pp 148-157 Baltimore and London. John Hopkins Univ. Press, 2002",,,,,,,,,,"MAGOUN, Alexander B.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Rebecca - The social reconstruction of a reverse salient in electrical guitar technology: noise, the solid body, and Jimi Hendrix. Braun, Hans-Joachim(org.) - Music and technology in the twentieth century. pp 186-198 Baltimore and London. John Hopkins Univ. Press, 2002",,,,,,,,,,"McSWAIN,",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Braun, Hans-Joachim(org.) - Music and technology in the twentieth century. pp 158-167. Baltimore and London. John Hopkins Univ. Press, 2002",,,,,,,,,,"MILLARD, Andre - Tape recording and music making.",IN:,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"- Modulations - the book . NY, Caipirinha Productions 2000",,,,,,,,,,"SHAPIRO, P.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Hedra, 1999.",,,,,,,,,,"SHUKER, Roy - Vocabulario de musica pop.","SP, Ed.",,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Cultural origins of sound reproduction.Duke University Press, Durham end London, UK - 2003",,,,,,,,,,"STERNE, Jonathan - The audible past.",,,,,,
1690,UFF,,,,,,,,,,,Simone Pereira de Sá,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_534.pdf,A música na era de suas tecnologias de reprodução,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"li.- The Cambridge companion to Pop and Rock. pp3-25. UK, Cambridge Univ. Press, 2001",,,,,,,,,,"THEBERGE,",et al.,,,,,
1691,UFBA,,,,,,,,,,,André Lemos,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_531.pdf,Ciberespaço e tecnologias móveis. Processos de territorialização e desterritorialização na cibercultura,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"Processos de Territorializacao e Desterritorializacao na Cibercultura1 Andre Lemos2 Resumo: As pratica sociais emergentes com as novas tecnologias de comunicacao nos colocam em meio a uma cultura da conexao generalizada, engendrando novas formas de mobilidade social e de apropriacao do espaco urbano. Processos de territorializacao e de desterritorializacao estao em marcha, potencializados pelas tecnologias moveis. A nocao de desterritorializacao e uma constante em textos sobre a cibercultura. O argumento central desse artigo e que as tecnologias moveis nao fomentam apenas processos de desterritorializacao, mas novas reterritorializacoes, atraves de dinamicas de controle e acesso a informacao. Mostraremos que o ciberespaco e as tecnologias moveis criam territorializacoes em meio a tendencia global desterritorializante da cultura contemporanea. Primeira Cena O blogueiro Iraniano Hossein Derakhshan, que mora em Toronto, foi barrado na entrada dos",,,,,,,,,,CIBERESPACO E TECNOLOGIAS MOVEIS.,,,,,,
1691,UFBA,,,,,,,,,,,André Lemos,,,,,,,,,,,2006,http://www.compos.org.br/data/biblioteca_531.pdf,Ciberespaço e tecnologias móveis. Processos de territorialização e desterritorialização na cibercultura,,TECNOLOGIAS INFORMACIONAIS DE COMUNICAÇÃO E SOCIEDADE,BAURU/SP,"pos seu nome ser ""googleado"" pelos oficiais da imigracao. Estes foram ""linkados"" diretamente para o seu blog e puderam ler suas criticas ao governo americano. Nao gostaram, censuraram e nao deixaram Derakhshan passar. Os diversos dispositivos digitais estao nos colocando em meio a formas sutis de controle e vigilancia. Derakhshan foi vitima, ao mesmo tempo, da potencia libertadora da emissao, e da violencia controladora e punitiva possibilidada por esses novos formatos midiaticos3. Derakhshan cria uma reterritorializacao no ciberespaco, o seu blog, um espaco de liberdade no espaco estriado das redes telematicas. No entanto, ""seu territorio"" acaba sendo utilizado como forma de controle e vigilancia. No aeroporto, um ""nao lugar"" (Auge, 1994), ele e territorializado, controlado pela policia americana a partir de marcas eletronicas deixadas na rede. 1 Esse artigo faz parte da pesquisa Cibercidades (CNPq). Pesquisa do Grupo de Pesquisa em Cibercidades (GPC/CNPq) do Centro Internacional de Estudos e Pesquisa em Cibercultura (Ciberpesquisa) -",,,,,,,,,,EUA a,,,,,,
